You down the alchohol quickly, and it seems to make you feel better...for the moment.	你迅速喝光酒，當下似乎感覺好一點……至少暫時如此。
Keith pipes up and says..." I don't want to sound like I'm running your life Sonny, but you shouldn't be drinking."	基斯插話說……「我不是想干涉你的生活，桑尼，但你不該喝酒。」
You are now under the influence of alcohol.	你現在受到酒精影響。
You begin to feel the effects of the drinks.	你開始感受到酒精的作用。
That is not available on this flight.	這班航班沒有提供那項服務。
You don't have to go to the bathroom now.	你現在不必去洗手間。
You don't need to use your gun now.	你現在不需要使用槍。
Your seat belt is fastened.	你的安全帶已繫好。
It is standard police procedure to draw your gun before firing it.	警方標準程序是在開槍前先拔槍。
What hijacker?	什麼劫機犯？
The stewardess is on her break.	空服員正在休息。
You see two men dressed in strange clothes that are coming up the aisle. Maybe they are part of the flight crew?	你看見兩名穿著奇怪服裝的男人沿走道走來。也許他們是機組人員？
Keith sits expectantly, waiting for the excitement in Steelton.	基斯滿懷期待地坐著，等待在 Steelton 發生的刺激事件。
Some passengers chatter away while others sleep off the "Airplane Blues."	一些乘客聊天，其他人則睡覺消除「飛機憂鬱」。
The stewardess says, "Hello".	空服員說：「你好。」
Keith says,"Isn't this a nice plane ride."	基斯說：「這趟飛行不是很愉快嗎？」
The passengers are too busy either sleeping or talking and don't want to make conversation with you.	乘客不是在睡覺就是在聊天，沒空和你交談。
You are not sitting.	你沒有坐下。
The hijacker looks angry and upset.	劫機犯看起來又憤怒又不安。
The stewardess is in a state of panic.	空服員陷入恐慌。
The hijacker's gun looks very deadly!	劫機犯的槍看起來非常致命！
Keith's face is pale and dripping with sweat.	基斯臉色蒼白，汗水直流。
The passengers are all rather scared.	乘客全都相當害怕。
A tense and nervous atmosphere fills the room as a hijacking is in process.	劫機正在進行，緊張不安的氣氛充滿整個機艙。
The hijacker does not speak much English. Besides, he's busy hijacking this plane and does not want to talk with you.	劫機犯不太會說英語。此外，他正忙著劫持飛機，不想和你交談。
