You're too far away for her to hear you.	你離她太遠，她聽不到你。
"You're kinda cute, but I don't date cops."	「你有點可愛，但我不和警察約會。」
"I've told you all I know, Officer," she stammers.	「警官，我已經把知道的一切都告訴你了。」她結結巴巴地說。
The girl tells you the location..."Just walk upriver about a hundred yards or so. It's right next to the water!"	女孩告訴你位置……「沿河往上游走大約一百碼，就在水邊！」
"I saw blood... and drag marks..." she cries.	「我看到了血……還有拖痕……」她哭著說。
You listen carefully, but nobody answers you.	你仔細聆聽，但沒有人回答。
Keith looks at you accusingly; "We're too late, Sonny! I told you we should've come here right away. Captain Fletcher is gonna chew us out now!"	基斯責備地看著你：「我們太晚了，桑尼！我就告訴過你應該立刻來。弗萊徹警監現在要狠狠訓我們了！」
Keith says..."I don't think we can catch him Sonny! He's probably long gone."	基斯說……「桑尼，我不認為我們抓得到他！他可能早就跑遠了。」
Keith tells Officer Gelepsi..."Mario, stand by and secure this area until we return!."	基斯告訴傑列普西警官……「馬里奧，在我們回來前待命並封鎖這一區！」
"I'lla stick 'round here an'a clean things up," Mario tells you. "See you'a later."	「我會留在這裡收拾，」馬里奧告訴你。「待會兒見。」
"M-my gosh'a, S-S-Sonny! I heard'a the GUNSHOTS!" stammers Officer Gelepsi.	「天、天啊，桑、桑尼！我聽到槍聲了！」傑列普西警官結巴地說。
"What's up, Sonny? I think'a you'a doin' fine." says Officer Gelepsi.	「怎麼了，桑尼？我覺得你做得很好。」傑列普西警官說。
"What'sa up, guys?" Mario asks.	「怎麼了，各位？」馬里奧問。
As the car pulls up, Keith winces..."Oh no! I can see from here it's a gal... You got me again, partner. Here's your buck."	車子開近時，基斯皺眉……「糟了！我從這裡就看得出來是個女人……你又贏我了，夥伴。這一元給你。」
As the car pulls up, Keith says..."Well Sonny, you should have taken the bet. I can see from here it's a gal."	車子開近時，基斯說……「桑尼，你本來該下注的。我從這裡就看得出來是個女人。」
"Hi'ya Sonny," Officer Gelepsi says, "The lady over there isa pretty shook up over what she'sa found. You'da better have a talk with her."	「嗨，桑尼，」傑列普西警官說，「那位女士被她發現的東西嚇得不輕。你最好和她談談。」
"I wasa listening ona the radio, Sonny," Officer Gelepsi grunts. "Too bad you lost that cocka-de-roacha."	「我在無線電裡聽到了，桑尼，」傑列普西警官哼道。「真可惜你讓那隻蟑螂跑了。」
Officer Gelepsi says, "Donn'a worry, Sonny. They'lla catch that cocka-de-roacha."	傑列普西警官說：「別擔心，桑尼。他們會抓到那隻蟑螂。」
Officer Gelepsi continues... "I'lla stick around for awhile, just in case you need me."	傑列普西警官繼續說……「我會留一陣子，以防你需要我。」
"Hello AGAIN! You sure are friendly."	「又見面了！你真友善。」
"Hello"	「你好。」
"You have a short memory. Maybe you'd better write this down."	「你的記性很差。也許你最好把它寫下來。」
"Shelly Wingate"	「雪莉．溫蓋特」
"108 Tenth Street"	「第十街 108 號」
"All right, buster, THAT does it! I'm leaving. YOU find that stuff WITHOUT ME!"	「好吧，小子，夠了！我要走了。你自己找那些東西，不要靠我！」
