Homely, ain't he!	很樸素，對吧！
Don't step on a crack!	別踩裂縫！
After trying to raise Keith and getting a lot of static, you think to yourself...."WHEW! This is one sorry radio."	試著聯絡基斯卻收到大量雜訊後，你心想……「呼！這台無線電真糟。」
You close your eyes...you make a wish...you wait...and then...	你閉上眼睛……許願……等待……然後……
You find out it didn't help a bit.	你發現這一點幫助也沒有。
Someone appears to have ripped the receiver off of the wall.	似乎有人把話筒從牆上扯下來。
The door seems to be jammed open.	門似乎卡在開啟狀態。
Considering the added bird droppings, it wouldn't be a good idea.	考慮到上面的鳥糞，最好不要那樣做。
Unless you're a monkey, bear, squirrel, chipmunk, or some other tree dwelling animal, you don't need to do that.	除非你是猴子、熊、松鼠、花栗鼠或其他棲樹動物，否則不需要那麼做。
We don't want you to UNbeautify the area!	我們可不想讓你破壞這片區域的美景！
You don't have a shovel, and besides....why would you want to do that?	你沒有鏟子，而且……你為什麼想那麼做？
Nowhere in the game will grass help you.	遊戲中沒有任何地方的草能幫助你。
It wouldn't do you any good. At least a million fingers have punched those buttons at one time or another.	那不會有任何用處。至少有一百萬根手指曾經按過那些按鈕。
There's no future in doing that.	那樣做沒有前途。
As you approach the park entrance, the patrol car's radio crackles: "Unit S56...we have a burglary in progress at 10th and Violet. Request you respond immediately. Over."	當你接近公園入口，巡邏車無線電傳來雜訊：「S56 單位……第十街與 Violet 發生竊盜案。請立即前往。完畢。」
"Well, boys..." says Officer Pitman, "I gotta go. I doubt you'll find anything, but go ahead and look around the park."	「好了，小伙子們……」皮特曼警官說，「我得走了。我懷疑你們找不到什麼，但去公園四處看看吧。」
"Right here's the telephone booth Bains used to make that call."	「班恩斯就是在這個電話亭打那通電話的。」
"Call us when you need to be picked up, or if you need any kind of assistance. Good luck!"	「需要接送或任何協助時打給我們。祝你好運！」
Keith looks around and says..."I think we should split up Sonny. Call me on the two-way if you need me."	基斯環顧四周說……「桑尼，我們應該分頭行動。需要我時用雙向無線電叫我。」
Keith looks around and says..."I think we should split up Sonny. I'll check the park perimeter. Holler if you need me."	基斯環顧四周說……「桑尼，我們應該分頭行動。我去檢查公園周界。需要我就喊一聲。」
Whoops! That's a mighty fast poodle.	哎呀！那隻貴賓犬跑得真快。
That doggone dog's gone!	那隻該死的狗跑掉了！
What dog? Where?	什麼狗？在哪裡？
Yeah! Look at all the room in this park!	對啊！看看這公園多寬敞！
You look around this section of the park and see a beautiful pond.	你環視公園這一區，看見一座美麗池塘。
