Without a warrant or probable cause, a vehicle search would be considered breaking and entering.	沒有搜索票或合理懷疑，搜索車輛會被視為侵入住宅。
Keith says..."Let's check out the parking lot, Sonny."	基斯說……「我們去查看停車場，桑尼。」
"I'll look over here."	「我查看這邊。」
"Why don't you go check out the terminal building? I'll wait here for the tow truck."	「你去查看航廈吧？我在這裡等拖吊車。」
Keith whines, "I forgot to pack my toothbrush!"	基斯哀號：「我忘了帶牙刷！」
Keith asks, "What are we doing here, anyway?"	基斯問：「我們到底為什麼來這裡？」
Keith yells: "Hey, wait for me, Sonny!"	基斯喊道：「嘿，等等我，桑尼！」
Opening another car's door without proper cause would be breaking and entering.	沒有正當理由打開別人的車門，會被視為侵入住宅。
Although it occurs to you that you could easily walk around the airport, you decide to stick to the business at hand.	你想到其實可以輕鬆繞著機場走，但決定先專心處理眼前的任務。
Gee, that taxi cab was SPEEDING! You'd better get up and give him a ticket, Sonny. Sonny? SONNY!?	天啊，那輛計程車超速了！你最好起身開張罰單給他，桑尼。桑尼？桑尼！？
My, My!	哎呀，哎呀！
Didja see that?	你看到了嗎？
They won't let you have it.	他們不會讓你拿走。
A crosswalk is painted on the street near the front entrance of the airport.	機場正門附近的街道上畫著斑馬線。
The box is equipped with a button....that's all.	這個箱子只有一個按鈕……就這樣。
Because of the reflective coating on the windows, you can't see through them.	窗戶有反光塗層，所以你看不透。
At the moment, a couple of people are sitting on a bench in front of the building entrance. One of them is reading the Lytton Tribune. The other one, too cheap to buy his own paper, is reading over his shoulder.	目前有兩個人坐在建築入口前的長椅上。其中一人在看《萊頓論壇報》。另一個人不肯花錢買自己的報紙，正探頭看他的。
It's a concrete bus stop bench with advertising on it.	這是座印有廣告的混凝土公車站長椅。
The people are sitting in front of the advertising on the bench.	那兩個人坐在長椅廣告前面。
It shelters the entrance and provides some decoration.	它遮蔽入口，也提供一些裝飾。
There's nothing down there.	下面什麼也沒有。
Looking at the license, you can see that the registration's expired.	看著行照，你發現登記已過期。
It's blue, just like yours!	它是藍色的，跟你的一樣！
It's one of those automatic sliding doors.	這是自動滑門。
The sign above the entrance says...in HUGE letters..."LYTTON AIRPORT."	入口上方的招牌用巨大的字寫著……「萊頓機場」。
