"Yes sir, Officer. Here are all of the car rental agreements for the last week."	「是的，警官。這是上週所有的租車合約。」
The Top Hat representative slowly hands you the car rental agreements.	高帽代表慢慢把租車合約交給你。
You carefully look over each car rental agreement. Unable to find anything helpful, you return them to the agent.	你仔細查看每份租車合約。找不到有用的內容後，便把合約還給租車員。
"What?" snaps the agent. "I'm not going to show our rental agreements to you. They're confidential!"	「什麼？」租車員怒道。「我不會把租車合約給你看，那是機密！」
You flash your badge at the Top Hat agent and he says... "Oh No! Is my boss in trouble again?"	你向高帽租車員亮出警徽，他說……「喔，不！我的老闆又惹麻煩了嗎？」
You whip out your badge...	你迅速掏出警徽……
"What did I do?" asks the agent. "The last wrong thing I remember doing was running a stop sign, and that was six years ago."	租車員問：「我做了什麼？」他說：「我記得上次做錯事是闖紅燈，那已經是六年前了。」
The agent looks at the mug shot and says..."What a mean- looking fellow. Fortunately, I've never seen him before."	租車員看著嫌犯照片說……「真是個凶惡的傢伙。幸好我以前沒見過他。」
You show the mug shot of Bains..."Nope, I've never seen the man before, but he sure looks like he ought to be locked up."	你出示班恩斯的嫌犯照片……「沒有，我以前從沒見過這個人，但他看起來確實該被關起來。」
The rental agent takes a good look at the picture, and slowly responds..."Yeah, buddy, you've got a fine looking wife there. She needs a shave, though."	租車員仔細看了照片，慢慢回答……「是啊，老兄，你老婆長得真好看。不過她該刮鬍子了。」
"Anytime, Officer."	「隨時為您效勞，警官。」
"Sure hope you get this guy. He looks BAD!"	「真希望你能抓到這傢伙。他看起來很糟！」
"You're welcome. Come again to... Top Hat!"	「不客氣。歡迎再來……高帽！」
You left the water running in the sink.	你讓洗手台的水一直流著。
Whoosh-clink-ssss clink-sshh-glugg.	嘩啦——喀——嘶，喀——嘶——咕嚕。
Whooooooooosssssshhhhh...... gurgle, gurgle.	呼——嘶——……咕嚕，咕嚕。
Your arms aren't nearly long enough.	你的手臂遠遠不夠長。
You aren't close enough.	你離得不夠近。
The ground is outside. In the new, modern Lytton Airport, they've put in floors.	地面在外面。新式現代化的萊頓機場裡，鋪設了地板。
If this was an "R" rated program like "Leisure Suit Larry", we might show it to you, but....!	如果這是像《拉瑞西裝》那樣的「R 級」遊戲，我們或許會給你看，但……！
There are no bathroom drawings out here.	外面沒有浴室示意圖。
The stall is furnished with a stool for your sitting pleasure and toilet paper for your comfort.	廁所隔間裡有方便你坐下的凳子，還有讓你舒適的衛生紙。
There seems to be some graffiti scrawled on the wall of the stall... You can just barely read it.	隔間牆上似乎塗著一些塗鴉……你勉強看得出來。
On the walls, you see a paper towel dispenser, an electric hand dryer, a mirror, and a vent mounted above the stalls.	牆上有紙巾 dispenser、電動烘手機、鏡子，以及裝在隔間上方的通風口。
The toilet water is unappetizing.	馬桶裡的水令人倒胃口。
