There is no second page in this file.	這份檔案沒有第二頁。
Right now, you need to concentrate on this file.	現在你需要專心看這份檔案。
You are looking into the file drawer which you just opened. It is an ordinary file drawer, with folders organized in alphabetical order.	你正查看剛打開的檔案抽屜。這是普通的檔案抽屜，資料夾按字母順序排列。
You'd better put this file away first. You know how picky they are here in Narcotics.	你最好先把這份檔案收好。你知道緝毒組的人有多龜毛。
Which file do you want to see?	你想看哪一份檔案？
You replace the file.	你把檔案放回原位。
You don't have a file open now.	你目前沒有打開任何檔案。
CASE#: N5553232 Name: Donald J. Colby. ALIAS: none. ADDRESS: As of 4/2/86 23110 Union St. Steelton, USA	案件編號：N5553232　姓名：唐納．J．柯比。別名：無。地址：截至 1986/4/2，美國鋼鐵城聯合街 23110 號。
SCARS/TATTOOS: none DOB: 2/19/48. PHYS: wht/male, 5'7", blk, brn, 145. ASSIGNED TO: Watts, Laura A/O: Bonds & Watts ARREST RECORD: Narcotics for sale CONVICTED: 10/5/83 INCARCERATED: none. LOCATION: none. SENTENCE: 1 year suspended sentence 1 year probation PAROLE DATE: None. CASE STATUS: Closed. NOTE: Provided testimony in murder trial against Jessie Bains.	傷疤／刺青：無　出生日期：1948/2/19。外觀：白人／男性，5 呎 7 吋，黑髮，棕眼，145 磅。承辦：蘿拉．華特斯　A/O：邦茲與華特斯。逮捕紀錄：販售毒品。定罪：1983/10/5。監禁：無。地點：無。刑期：緩刑 1 年、觀護 1 年。假釋日期：無。案件狀態：結案。備註：曾在控告傑西．班恩斯的謀殺案審判中作證。
CASE#: N5550001 Name: Moffet Dickey ALIAS: none ADDRESS: 329 E. Peach St. Lytton City, USA	案件編號：N5550001　姓名：莫菲特．迪基。別名：無。地址：美國萊頓市東桃街 329 號。
SCARS/TATTOOS: none DOB: 3/20/28. PHYS: wht/male, 6'0", bln, blu, 150. ASSIGNED TO: Pratt A/O: Pratt ARREST RECORD: Narcotics possession CONVICTED: 10/3/86 INCARCERATED: none. LOCATION: none SENTENCE: 1 year suspended sentence with 6 mo probation PAROLE DATE: none. CASE STATUS: Closed	傷疤／刺青：無　出生日期：1928/3/20。外觀：白人／男性，6 呎，金髮，藍眼，150 磅。承辦：普拉特　A/O：普拉特。逮捕紀錄：持有毒品。定罪：1986/10/3。監禁：無。地點：無。刑期：緩刑 1 年，觀護 6 個月。假釋日期：無。案件狀態：結案。
CASE#: N5554999 Name: Robin Jones. ALIAS: none. ADDRESS:302 Parkway Drive Lytton City, USA.	案件編號：N5554999　姓名：羅賓．瓊斯。別名：無。地址：美國萊頓市公園大道 302 號。
SCARS/TATTOOS: 3" scar left forehead. DOB: 2/26/67. PHYS: blk/male, 6'3", blk, hzl, 225. ASSIGNED TO: Jones A/O: Pratt & Jones ARREST RECORD: Narcotics possession CONVICTED: 6/6/87 INCARCERATED: none. LOCATION: none. SENTENCE: 1 year suspended sentence. 3 years probation. PAROLE DATE: None. CASE STATUS: Closed.	傷疤／刺青：左額有 3 吋疤痕。出生日期：1967/2/26。外觀：黑人／男性，6 呎 3 吋，黑髮，榛色眼，225 磅。承辦：瓊斯　A/O：普拉特與瓊斯。逮捕紀錄：持有毒品。定罪：1987/6/6。監禁：無。地點：無。刑期：緩刑 1 年，觀護 3 年。假釋日期：無。案件狀態：結案。
CASE#: N555J212. NAME: Victor Simms. ALIAS: none. ADDRESS: 304 Second St. Lytton City, USA.	案件編號：N555J212。姓名：維克多．西姆斯。別名：無。地址：美國萊頓市第二街 304 號。
SCARS/TATTOOS: none DOB: 4/14/66. PHYS: wht/male, 5'7", blk, brn, 145. ASSIGNED TO: Watts, Laura A/O: Bonds & Watts ARREST RECORD: Narcotics for sale CONVICTED: 10/5/83 Juvenile Court INCARCERATED: none. LOCATION: none. SENTENCE: 1 year suspended sentence. PAROLE DATE: None. PROBATION: 1 yr. CASE STATUS: Closed	傷疤／刺青：無　出生日期：1966/4/14。外觀：白人／男性，5 呎 7 吋，黑髮，棕眼，145 磅。承辦：蘿拉．華特斯　A/O：邦茲與華特斯。逮捕紀錄：販售毒品。定罪：1983/10/5，少年法庭。監禁：無。地點：無。刑期：緩刑 1 年。假釋日期：無。觀護：1 年。案件狀態：結案。
CASE#: N5553339 Name: Wilma Snider. ALIAS: Big Snort Snider. ADDRESS: 203 Oak St. Lytton City, USA.	案件編號：N5553339　姓名：威爾瑪．史奈德。別名：大鼻息史奈德。地址：美國萊頓市橡樹街 203 號。
SCARS/TATTOOS: none DOB: 7/19/60. PHYS: blk/fem, 5'7", blk, brn, 145. ASSIGNED TO: Pratt A/O: Pratt ARREST RECORD: Narcotics for sale CONVICTED: 8/5/85 INCARCERATED: local LOCATION: Lytton Jail SENTENCE: 1 year suspended sent. 3 year probation. PAROLE DATE: None. CASE STATUS: Closed	傷疤／刺青：無　出生日期：1960/7/19。外觀：黑人／女性，5 呎 7 吋，黑髮，棕眼，145 磅。承辦：普拉特　A/O：普拉特。逮捕紀錄：販售毒品。定罪：1985/8/5。監禁：地方監獄。地點：萊頓監獄。刑期：緩刑 1 年，觀護 3 年。假釋日期：無。案件狀態：結案。
CASE#: N5555678 Name: George Snow. ALIAS: Ice Man ADDRESS: transient	案件編號：N5555678　姓名：喬治．斯諾。別名：冰人。地址：居無定所。
SCARS/TATTOOS: tattoo of panther on back DOB: 3/15/56. PHYS: wht/male, 6'0", blk, grn, 206. ASSIGNED TO: Jones A/O: Pratt ARREST RECORD: Narcotics for sale CONVICTED: 6/6/86 INCARCERATED: State Pen. LOCATION: Wixsom SENTENCE: 1 year with 3 years probation. PAROLE DATE: 12/6/86. CASE STATUS: Closed	傷疤／刺青：背部有豹刺青。出生日期：1956/3/15。外觀：白人／男性，6 呎，黑髮，綠眼，206 磅。承辦：瓊斯　A/O：普拉特。逮捕紀錄：販售毒品。定罪：1986/6/6。監禁：州立監獄。地點：威克森。刑期：1 年，觀護 3 年。假釋日期：1986/12/6。案件狀態：結案。
CASE#: N5554657 NAME: Jose Valencia ALIAS: none ADDRESS: 25112 Staton Court Century, USA	案件編號：N5554657　姓名：荷西．瓦倫西亞。別名：無。地址：美國世紀城史坦頓法院街 25112 號。
