Captain Hall doesn't like to be interrupted.	霍爾警監不喜歡被打擾。
Jim is a muscular, quiet man. He has nothing to say to you.	吉姆是個沉默的壯漢，沒什麼話要對你說。
Keith smiles and says, "Take it easy, partner."	基斯笑著說：「放輕鬆，搭檔。」
Get closer to him.	靠近他一點。
You've been given your orders.	你已經接到命令了。
The Captain is on the phone.	警監正在講電話。
With a slurp and a smack, the Captain says,"Not now please, I'm eating my ice cream!"	警監吸了一口、咂了咂嘴說：「現在不行，我正在吃冰淇淋！」
"Yo, Sonny," mumbles Detective Jim (Rambo) Pierson, "I'm on the phone."	「喲，桑尼。」吉姆（蘭波）．皮爾森警探含糊地說：「我正在講電話。」
"You go ahead, partner," Keith says, "I'll be right out."	基斯說：「搭檔你先走，我馬上出去。」
"Have fun, partner," Keith says, "I'll see you tomorrow."	基斯說：「玩得開心，搭檔，明天見。」
Keith apparently is lost in thought - but you know better.	基斯看似陷入沉思，但你知道不是那回事。
Keith doesn't appear to hear you. Maybe you should get closer?	基斯似乎沒聽見你。也許你該靠近一點？
You did that once. He fell off his chair, hit his head, and he's never been the same since.	你以前做過一次。他從椅子上摔下來撞到頭，從此就不一樣了。
The Captain doesn't like you messing with the things on his desk.	警監不喜歡你亂動桌上的東西。
You can't use that right now.	你現在不能使用那個。
There are no mugshots here.	這裡沒有嫌犯照片。
It's just a lamp.	那只是一盞燈。
Open the drawer first.	先打開抽屜。
All the drawers around here look the same.	這裡的抽屜看起來都一樣。
What ice cream? Captain Hall isn't eating ice cream.	什麼冰淇淋？霍爾警監根本沒在吃冰淇淋。
Captain Hall's favorite: pistachio.	霍爾警監最喜歡的口味：開心果。
The locker belongs to the Captain.	置物櫃是警監的。
The keys are for the unmarked cars.	這些是無標誌車的鑰匙。
On the wall you see a map, two bulletin boards, and some keys.	牆上有一張地圖、兩個公告欄和一些鑰匙。
That's easier to do if you open it first.	先打開它會比較容易。
The papers on the board are a year old, and of no interest.	公告欄上的文件已經一年了，沒什麼好看的。
Go up to it and take a look.	走近一點看看。
This is the Homicide Office.	這是重案組辦公室。
The Homicide Office is equipped with five desks, a file cabinet, a locker, and various other items hanging on the wall. On one of the desks is a computer.	重案組辦公室裡有五張桌子、一個檔案櫃、一個置物櫃，牆上還掛著各種物品。其中一張桌上放著電腦。
In the basket you see a subpoena.	你在留言籃裡看到一張傳票。
You pick up and read the subpoena.	你拿起傳票閱讀。
"You are commanded to appear in Division 4, Superior Court of the City of Lytton, as a witness for the People in the retrial matter against the defendant, Jessie Bains. Notification of time and date will follow."	「命令你出席萊頓市高等法院第四庭，代表人民出庭，擔任被告傑西．班恩斯重審案的證人。時間與日期另行通知。」
You can't believe what you just read! Just as the memory of this rat was passing into oblivion, he's back for a retrial.	你不敢相信剛讀到的內容！這隻敗類的記憶才逐漸淡去，他竟然要接受重審。
In the basket you see a manila envelope.	你在留言籃裡看到一個牛皮紙信封。
You remove the envelope, which is marked: "Crime Lab."	你取出信封，上面標記著：「刑事鑑識實驗室。」
While opening the envelope, you think..."It's the test results on the evidence."	你打開信封時心想……「這是證物的鑑識結果。」
Fingerprint tape: Location found: Glove box of deceased jailer's car Findings of forensic examination: Positive match - Jessie H. Bains	指紋膠帶：發現地點：死者獄卒的車輛手套箱。鑑識結果：比對吻合——傑西．H．班恩斯。
Fingerprint tape: Location found: Rear view mirror of stolen car Findings of forensic examination: Positive match - Jessie H. Bains	指紋膠帶：發現地點：失竊車輛後視鏡。鑑識結果：比對吻合——傑西．H．班恩斯。
Coagulated Blood: Location found: River bank Findings of forensic examination: Blood type: A+ (same as jailer's)	凝固血液：發現地點：河岸。鑑識結果：血型 A+（與獄卒相同）。
Footprint cast: Location found: River bank Findings of examination Size 10d (new)	腳印石膏模型：發現地點：河岸。檢驗結果：尺寸 10D（新鞋）。
Makeshift knife: Location found: Bottom of River Findings of examination Weapon made from spoon "New Floral Design" By "Superior Dinner Ware MFG CO." Same pattern is used at Lytton Jail.	臨時刀具：發現地點：河底。檢驗結果：武器由「新花樣」湯匙製成，製造商為「Superior 餐具製造公司」。萊頓監獄使用相同花樣。
Clothing: Location found: Approx. 300yds up river from footprints Findings of examination #1 shirt - jail issue. size, med. #2 trousers - jail issue. size, 36	衣物：發現地點：距離腳印上游約 300 碼。檢驗結果：#1 上衣——監獄配發，尺寸中號。#2 長褲——監獄配發，尺寸 36。
Hand gun: Ser. Num. S/W 5557763 4" Smith&Wesson 38cal K-38 Location found: Airport rest room (toilet tank) Registered to: Luis Pate (jailer) Findings of forensic examination: Fingerprints - Inconclusive Ballistics - test round (from glove box of jailer's car) fired from this weapon, match with bullet removed from Jailers head.	手槍：序號 S/W 5557763，4 吋 Smith&Wesson .38 口徑 K-38。發現地點：機場洗手間（馬桶水箱）。登記所有人：路易斯．佩特（獄卒）。鑑識結果：指紋——無法判定。彈道——從獄卒車輛手套箱取得的測試子彈由本槍射出，與從獄卒頭部取出的子彈吻合。
Ammunition: (3 rounds) Location found: Glove box of jailer's car Test findings: Ballistics - (see above) Lytton PD departmental issue ammunition	彈藥：（3 發）發現地點：獄卒車輛手套箱。檢驗結果：彈道——見上。萊頓警察局配發彈藥。
...END OF REPORT.	……報告結束。
Your basket is empty.	你的留言籃是空的。
You see a note in your basket.	你在留言籃裡看到一張便條。
You pick up and read the note...	你拿起便條閱讀……
"Bonds, Marie called while you were out. She wants you to call her as soon as possible."	「邦茲，你外出時瑪麗打來過。她希望你儘快回電。」
You don't see that in your basket.	你在留言籃裡看不到那個東西。
It's not nice to look in other people's baskets.	偷看別人的留言籃可不太好。
Captain Fletcher Hall is a very large man with an over-powering presence.	弗萊徹．霍爾警監身材非常高大，氣勢逼人。
Although short, Detective Jim Pierson keeps himself in excellent physical condition. He rarely speaks unless spoken to.	吉姆．皮爾森警探雖然個子矮，卻保持極佳的體能。他很少主動說話。
Your partner, Keith Robinson, is an easy-going, veteran detective. He doesn't let his job interfere with his relaxation.	你的搭檔基斯．羅賓遜是個隨和的資深警探。他不讓工作妨礙自己的休閒。
Get closer.	靠近一點。
Your partner, Keith Robinson, is an easy-going, veterin detective. He doesn't let his job interfere with his relaxation.	你的搭檔基斯．羅賓遜是個隨和的資深警探。他不讓工作妨礙自己的休閒。
