The glove box isn't open.	手套箱沒有打開。
You look at the registration ... After confirming the name, "Luis Pate", you return it to the glove box.	你查看登記證……確認姓名「Luis Pate」後，把它放回手套箱。
You don't see it.	你看不到它。
You don't see them.	你看不到它們。
Looking the ammunition over, you think... "Hmmm, three rounds of .38 caliber. Better hang on to this for evidence."	你檢查彈藥，心想……「嗯，三發 .38 口徑子彈。最好留下作為證物。」
There are no bullets here.	這裡沒有子彈。
You look at the empty holster and ponder the whereabouts of the gun. You retain it for evidence.	你查看空槍套，思考槍的下落。你把槍套留下作為證物。
There is no holster here.	這裡沒有槍套。
You search diligently, finding nothing.	你仔細搜索，但什麼也沒找到。
Carefully, you apply the dust and... Mumbling to yourself... "This print is too smudged to take."	你小心撒上粉末……喃喃自語……「這個指紋太模糊，無法採取。」
Carefully, you apply the dust and ... Mumbling to yourself ... "Here's one worth taking!"	你小心撒上粉末……喃喃自語……「這個值得採取！」
Carefully, you apply the fingerprint powder ... you examine the powder and think to yourself... "Not worth processing."	你小心撒上指紋粉……檢查粉末後心想……「不值得處理。」
It isn't worth taking.	不值得採取。
You've already gotten enough fingerprints.	你已經取得足夠的指紋。
Using the tape, you carefully "lift" the print.	你用膠帶小心「提取」指紋。
You will need the bullets for evidence.	你需要留下子彈作為證物。
You will need the holster for evidence.	你需要留下槍套作為證物。
He sure is UGLY!	他真是醜！
Good old Keith!	老好人基斯！
You keep your eyes on the unusual-looking individual.	你盯著那個外表異常的人。
Good going, partner!	做得好，夥伴！
Acting fast, you whip out your badge and identify yourself.	你迅速掏出警徽表明身分。
The man just runs at you.	男人直接朝你跑來。
Your voice is lost in the vastness of the park.	你的聲音消散在公園廣闊的空間裡。
Who're you calling? Keith's here.	你要叫誰？基斯就在這裡。
