You should call dispatch.	你應該呼叫勤務中心。
Use your car's radio.	使用車上的無線電。
The search warrant authorizes you to legally search room 108 at the Snugglers Inn.	搜索票授權你依法搜索 Snuggler’s Inn 汽車旅館的 108 號房。
You should call dispatch and request a warrant.	你應該呼叫勤務中心申請搜索票。
Your requested backup has not arrived yet.	你申請的支援警力還沒到。
Just walk in.	直接走進去。
You knock, but no one responds.	你敲了門，但沒有人回應。
In a commanding voice you yell, "Open up, in the name of the police!"	你用命令口吻喊道：「以警方名義，開門！」
You listen carefully but are unable to hear anything.	你仔細聆聽，但什麼也沒聽見。
You aren't close enough to the door.	你離門還不夠近。
"I'm right behind you, partner!" Keith says...	「我就在你後面，夥伴！」基斯說……
You came here alone. Keith is not with you.	你獨自來到這裡。基斯不在你身邊。
You tell Chuck that the room is secure.	你告訴查克房間已經安全。
Chuck responds, "Ok, Sonny. We'll wrap things up here."	查克回答：「好，桑尼。我們會在這裡收尾。」
Chuck says, "You go ahead and do your thing. We'll stay here."	查克說：「你去做你的事。我們留在這裡。」
You explain the situation to Chuck and request that he and his partner get into position next to their car.	你向查克說明情況，請他和搭檔在車旁就位。
"You got it, Sonny!" says Chuck. "That's what we're here for."	「沒問題，桑尼！」查克說。「我們就是為此而來。」
"Did you find out which room this dirtbag is in?" Chuck asks.	「你查出這個混蛋在哪間房了嗎？」查克問。
"Yes," you reply, "Room 108."	「是的，」你回答：「108 號房。」
"I've got that warrant you requested, Sonny."	「你申請的搜索票拿到了，桑尼。」
Being a macho type, you kick in the door, making a fool out of yourself.	你逞強踢開房門，結果反而讓自己出醜。
You quickly close the door.	你迅速關上門。
What do you think you are doing? The door is already open!	你以為自己在做什麼？門已經開了！
You don't need to take it out of the trunk.	你不需要把它從後車廂拿出來。
There is no shotgun.	這裡沒有散彈槍。
