What note? Where?	什麼便條？在哪裡？
The "Princessette", constructed by Oscar Cano, Inc. This tract was completed back in January 1978, three days before the Dallas Cowboys defeated the Denver Broncos by a score of 27-10 in Super Bowl XII.	「Princessette」社區由 Oscar Cano 公司建造。這片住宅區於 1978 年 1 月完工，當時距離達拉斯牛仔隊在第十二屆超級盃以 27 比 10 擊敗丹佛野馬隊只剩三天。
The rooms are in the house. You're outside.	房間在屋內。你在屋外。
Marie keeps everything well manicured, pruned, and free of weeds.	瑪麗把一切整理得很好，修剪整齊，也沒有雜草。
Nothing of interest there.	那裡沒有值得注意的東西。
Your mind is wandering. You're getting off track.	你心思飄遠了。你偏離正事了。
The fence encloses the back yard.	籬笆圍住後院。
You look at a folded piece of paper with your name..."Sonny"...on the front.	你看著一張折好的紙，正面寫著你的名字……「桑尼」……
The stucco's in pretty good shape, and so is the paint.	灰泥狀況很好，油漆也是。
It's your late-model, unmarked patrol car.	那是你的新款無標誌巡邏車。
It's your car. You'd know it anywhere.	那是你的車。你在哪裡都認得出來。
You can't see him from where you're standing. The sunlight is reflecting off the car windows.	你站在這裡看不到他。陽光從車窗反射出來。
Keith is slouching along behind you.	基斯懶洋洋地跟在你後面。
You peer through the window pane but are unable to see anything.	你透過窗玻璃窺看，卻什麼也看不見。
You can't see from here. Go closer to the window.	你從這裡看不到。靠近窗戶一點。
You see nothing unusual about the garage.	車庫沒有任何異常之處。
You should be closer to get a good look.	你應該靠近一點才能看清楚。
There's nothing special about the door.	門沒什麼特別的。
Your car door looks fine.	你的車門看起來沒問題。
You take the spare key from above the door, unlock the door, and replace the key.	你從門上方取下備用鑰匙，開門後再把鑰匙放回去。
You enter Marie's house.	你進入瑪麗的房子。
You can't quite reach it.	你還搆不到它。
You already have plenty of keys.	你已經有很多鑰匙了。
From inside the car, Keith says: "Go on and look around, partner. I'll keep an eye on things out here."	基斯在車內說：「去四處看看吧，夥伴。我會在外面留意情況。」
Keith is strangely silent at the moment.	基斯此刻異常安靜。
