You're too far away.	你離得太遠了。
The pale blue paint is a nice touch. There is a painting on the wall behind the three gentlemen.	淡藍色油漆很雅致。三位先生後方的牆上掛著一幅畫。
The rotund guard doesn't look like he is having fun.	那名圓胖警衛看起來一點也不開心。
Get out of the tunnel and you can see it.	走出通道就看得見了。
Huh??	嗯？？
The long-haired blonde looks pretty interesting.	那名長髮金髮女郎看起來相當有趣。
A motley-looking crew of passengers waits for a flight.	一群形形色色的旅客正在等候航班。
This man looks bored.	這名男子看起來很無聊。
This man looks very bored.	這名男子看起來非常無聊。
Groovy!	酷！
You look at no one in particular.	你沒有特別看任何人。
There is no place to sit.	沒有地方可坐。
Sorry! It's bolted to the wall.	抱歉！它鎖在牆上。
That's totally unnecessary! Just walk through the metal detector.	完全沒必要！直接走過金屬探測器就好。
"Who do you think you are....Don Johnson? What's your story?"	「你以為你是誰……唐．強生嗎？你有什麼故事？」
"Boy! I've never seen a shinier badge!"	「天啊！我從沒見過這麼亮的警徽！」
"I'm gonna plead the fifth amendment."	「我要援引憲法第五修正案。」
"Gee! You're a real cop!"	「天啊！你真的是警察！」
The long-haired blonde says, "Hey, man! Why don't you flash your badge on someone who cares."	長髮金髮女郎說：「嘿，老兄！去對在乎的人亮你的警徽吧。」
"OK, Bonds! I SAW your badge! I KNOW you're a cop!"	「好了，邦茲！我看見你的警徽了！我知道你是警察！」
Nobody can see your badge right now.	現在沒有人看得見你的警徽。
Nobody recognizes Bains' picture.	沒有人認出班恩斯的照片。
Uh-oh! Perhaps now is not a good time (and here is not a good place) to be taking your gun out.	糟了！現在（而且這裡）可能不是拿出槍的好時機。
What for??	為什麼？？
He doesn't seem real talkative.	他似乎不太愛說話。
