This board finds that Homicide Detective Sonny Bonds, while on duty, was involved in the discharge of his weapon at another human being during the process of rescuing kidnap victim Marie Wilkans.	本委員會認定，命案警探桑尼．邦茲值勤期間，在拯救遭綁架被害人瑪麗．威爾肯斯的過程中，對另一名人類開槍。
Further...the shooting resulted in the fatal wounding of "Jessie Bains", escaped fugitive.	此外……槍擊造成逃犯「傑西．班恩斯」受致命傷。
The board notes: Jessie Bains, while using a stolen .32 caliber Browning automatic, first attacked and fired at Detective Bonds with the intent to commit murder.	委員會注意到：傑西．班恩斯持用遭竊的 .32 口徑 Browning 自動手槍，先攻擊邦茲警探並意圖謀殺而開火。
THE REVIEW BOARD CONCLUSIONS:	審查委員會結論：
The Board finds that Detective Bonds acted in self-defense while in fear for his own life and while protecting the life of kidnap victim Marie Wilkans.	委員會認定，邦茲警探因擔心自身性命並保護遭綁架被害人瑪麗．威爾肯斯，而採取正當防衛。
The Board concludes that the shooting death of "Jessie Bains" by Homicide Detective Sonny Bonds was totally and unquestionably legal and justifiable.	委員會結論認定，命案警探桑尼．邦茲槍擊「傑西．班恩斯」致死，完全且毫無疑問地合法正當。
THE REVIEW BOARDS RECOMMENDATIONS:	審查委員會建議：
#1. This board recommends immediate cancellation of administrative leave, therefore returning Detective Bonds to permanent active status.	#1. 本委員會建議立即取消行政休假，使邦茲警探恢復正式現役。
#2. Detective Sonny Bonds will receive Lytton Police Department's "Silver Commendation Award" for superior effort and performance while engaged in a life-threatening situation.	#2. 桑尼．邦茲警探將獲頒萊頓警察局「銀質嘉獎獎章」，表揚他在危及生命情況下的卓越努力與表現。
#3. This board recommends that Detective Sonny Bonds participate in a two week "Rest and Relaxation" period prior to returning to duty.	#3. 本委員會建議桑尼．邦茲警探在恢復勤務前，接受兩週「休養與放鬆」。
The next day...	隔天……
The three piece band strikes it up, as Captain Fletcher Hall presents you with the "Silver Commendation Award".	三人樂團奏起樂曲，弗萊徹．霍爾警監頒發「銀質嘉獎獎章」給你。
Marie stands proudly by your side as the band plays on.	樂團持續演奏時，瑪麗驕傲地站在你身旁。
Although you know it's a lie, Keith vows to quit smoking by the time you return from the Island paradise.	雖然你知道那是謊言，基斯仍發誓等你從島嶼天堂回來時，他會戒菸。
Since this is a special occasion, you wonder why the Captain can't quit slurping, licking and smacking ice cream long enough to get you out of here.	既然是特殊場合，你不禁想知道警監為什麼不能暫停吸溜、舔舐和吧唧冰淇淋，好讓你離開這裡。
"Oh well" you think..."I guess it's better than the old habit he used to have...dipping and spitting snuff."	「算了，」你心想……「總比他以前嚼鼻煙又吐掉的習慣好。」
With congratulations over, and the awards ceremony out of the way, you board the plane. Then...	祝賀結束、頒獎典禮告一段落後，你登上飛機。接著……
You and your high school sweetheart, Marie Wilkans, fly away into the sunset...	你和高中戀人瑪麗．威爾肯斯飛向夕陽……
While high in the sky, bound for the warm, emerald clear waters of the Bahamas...	在高空中，飛往溫暖、翡翠般清澈的巴哈馬海域……
You ask Marie...	你問瑪麗……
"Marie" you say... "Will you marry me?"	「瑪麗，」你說……「你願意嫁給我嗎？」
With tears of joy flowing, Marie answers...	瑪麗流下喜悅的淚水，回答……
"YES"	「我願意」
Thank you for playing "Police Quest 2."	感謝遊玩《警察故事 2》。
THE END	全劇終
