open with a gas mask in it.	打開後裡面有一具防毒面具。
open and empty.	打開後是空的。
What a wimpy way to die....falling in a hole! Next time be, more careful.	真是窩囊的死法……掉進洞裡！下次要更小心。
Turn on	開啟
Turn off	關閉
Rats scurry about the sewer pipes.	老鼠在下水道管線間竄動。
has been shot out.	已被射熄。
is on.	已開啟。
The other light has been shot out.	另一盞燈已被射熄。
The other light is on.	另一盞燈已開啟。
Falling into the trough of human waste, you lose consciousness as you slip beneath the surface.	你掉進人類排泄物的溝槽，滑入表面下方時失去了意識。
You die from asphyxiation in a pocket of methane gas. Next time, avoid this area or ...?	你在一小片甲烷氣體中窒息而死。下次避開這個區域，否則……？
You're fried! The spark from your gunfire in explosive gas is VERY fatal.	你被炸熟了！在易爆氣體中開槍產生的火花非常致命。
Controls	控制
ID number of the object?	物品的編號？
Which room number?	哪個房間號碼？
Save	儲存
Select the game that you would like to restore.	選擇你想還原的遊戲。
Type the description of this saved game.	輸入這個存檔的描述。
This directory/disk can hold no more saved games. You must replace one of your saved games or use Change Directory to save on a different directory/disk.	這個目錄/磁碟無法再容納更多存檔。你必須取代其中一個存檔，或使用「變更目錄」將存檔儲存到其他目錄/磁碟。
Restore a Game	還原遊戲
Save a Game	儲存遊戲
Cancel	取消
xg c	xg c
Cycle	循環
Chase	追捕
controls	控制
Free Heap: %u Bytes Largest ptr: %u Bytes FreeHunk: %u KBytes Largest hunk: %u Bytes	可用堆積：%u 位元組 最大指標：%u 位元組 可用區塊：%u KB 最大區塊：%u 位元組
Change Directory	變更目錄
You are carrying:	你攜帶著：
You are carrying nothing!	你什麼也沒帶！
Enter input	輸入
Action	動作
Police Quest II - "The Vengeance"	警察故事 2 -「復仇記」
Continue	繼續
Game Paused	遊戲暫停
Let's roll.	出發吧。
You are carrying...	你攜帶著……
You have only your diving equipment. You left everything else in the van.	你只有潛水裝備。其他東西都留在廂型車裡。
Volume (1 - 16)?	音量（1 - 16）？
Collect	收集
