You will not need to use the word, "%s," in this game.	本遊戲不需要使用「%s」這個詞。
Please try a different way of saying that.	請換個說法。
I'm not sure what you want me to do.	我不確定你要我做什麼。
Memory fragmented.	記憶體碎片化。
Looking closer at the note, you think..."This is definitely NOT Marie's handwriting!!"	你仔細看著紙條，心想……「這絕對不是瑪麗的筆跡！」
Talk in a normal voice, please.	請用正常音量說話。
Keith is not here.	基斯不在這裡。
Keith is not close enough to talk to.	你離基斯太遠，沒辦法和他說話。
To whom?	要對誰？
You don't need to.	你不需要這麼做。
Hi.	嗨。
`Bye.	`再見。
In the confusion, your kit was checked on another plane, and you don't have it.	混亂之中，你的勘查箱被托運到另一架飛機上，現在不在你手邊。
You have no reason to do that.	你沒有理由這麼做。
You can't get that.	你拿不到那個東西。
What use do you intend?	你打算拿它做什麼？
Ask whom?	要問誰？
About what?	要問什麼？
Come on Sonny. Don't give up so easy!	振作點，桑尼。別這麼快就放棄！
You're not hungry right now.	你現在還不餓。
