Alias: B.B.Walls	別名：B.B. Walls
MO: Author and	犯罪手法：作者兼
designer of	設計者
Police Quest II	《警察故事 2》
One Year has passed since Detective Sonny Bonds successfully brought Jessie Bains (The Death Angel) to justice. Bains' world of rampant drugs and open violence, the world he controlled so well, has been silenced. As the memory of this animal slowly fades, the city of Lytton once again lives in the peace and serenity of its past.	自從桑尼．邦茲警探成功將傑西．班恩斯（死亡天使）繩之以法，已經過了一年。班恩斯所掌控的毒品氾濫與公開暴力世界已經沉寂。隨著這頭野獸的記憶逐漸淡去，萊頓市再次恢復往昔的和平與寧靜。
Officer Sonny Bonds has been promoted to the position of 'Homicide Detective.' The day begins with Detective Bonds arriving for another routine work day, or so it seems...	桑尼．邦茲警官已升任「命案警探」。這一天，邦茲警探來到警局開始又一個例行工作日——至少看起來是如此……
"I'm waiting, Bonds!"	「我在等你，邦茲！」
Officer Moore says..."Well, here I am, Bonds. What can I do for you?"	摩爾警官說……「我來了，邦茲。需要我做什麼？」
"I don't like diving alone, and I'm the only diver available," Moore says. "You wouldn't happen to have a scuba certification card, would you?"	「我不喜歡單獨潛水，而我是唯一可用的潛水員，」摩爾說。「你該不會有水肺潛水證照卡吧？」
You say "Yes, I do."	你說：「有。」
You think to yourself: "Now, where did I put that?"	你心想：「我把它放哪裡了？」
"Well? If you have it, show it to me," Officer Moore says impatiently.	「怎樣？如果你有，就拿給我看。」摩爾警官不耐煩地說。
"Sorry. I can't take you with me without a diving certificate."	「抱歉，沒有潛水證照我不能帶你一起去。」
You show your scuba certification card to the diver.	你把水肺潛水證照卡出示給潛水員。
"OK. Wait here while I change."	「好。等我換裝時請留在這裡。」
Reluctantly, Officer Moore says to you..."Ok, I don't like it, but I'll go ahead and dive alone. I just hope my supervisor doesn't catch me."	摩爾警官不情願地對你說……「好，我不喜歡這樣，但我會獨自下水。只希望主管別抓到我。」
Wow! This guy's a quick-change artist!	哇！這傢伙換裝真快！
"Ok, Bonds," says Moore, "the equipment is in the van. Just take what you need."	「好，邦茲，」摩爾說，「裝備在廂型車裡。拿你需要的就好。」
"Don't leave me here." says the diver, "Just stand by 'till I come out of the river."	「別把我留在這裡。」潛水員說，「就在這裡待命，直到我從河裡出來。」
Officer Moore puts his mask and fins on, climbs into the water, and disappears from sight beneath the surface.	摩爾警官戴上面罩、穿好蛙鞋，下水後消失在水面下。
Officer Moore puts his mask and fins on, climbs into the water, and disappears from sight beneath the surface. You quickly put on your fins and follow him into the swiftly-moving river.	摩爾警官戴上面罩、穿好蛙鞋，下水後消失在水面下。你迅速穿上蛙鞋，跟著他進入湍急的河流。
"There you are, Sonny! I've found the body. Come with me."	「你在這裡，桑尼！我找到屍體了。跟我來。」
After recovering the body of the jailer, you hurry to change back into street clothes.	打撈出獄警的屍體後，你趕快換回便服。
Exhausted and frustrated, you hurry to change back into your street clothes.	你又累又沮喪，趕快換回便服。
Back in the van, you change your clothes, and pick up all your things.	回到廂型車裡，你換好衣服並拿起所有物品。
