"Welcome aboard Iguana Airlines. May you have an enjoyable flight."	「歡迎搭乘鬣蜥航空。祝您旅途愉快。」
As you feel the engines begin to roar, the Captain makes an announcement. "Attention, ladies and gentlemen!" he says. "This is your captain speaking..."	當你感覺引擎開始轟鳴時，機長發表廣播。「女士先生請注意！」他說。「這裡是機長廣播……」
"We are about to take off. At this time, we ask that all passengers take their seats and fasten their seat belts. Thank you."	「我們即將起飛。現在請所有乘客入座並繫好安全帶。謝謝。」
The stewardess says to you..."Sir, we'll be departing momentarily. Please%sfasten your seat belt."	空服員對你說……「先生，我們即將起飛。請%s繫好安全帶。」
You relax as the plane prepares to taxi toward the runway.	飛機準備滑行前往跑道，你放鬆下來。
The captain announces, "We are beginning our ascent to 25,000 feet. Please keep your seat belts fastened until we have reached our maximum altitude. Thank you for your cooperation."	機長廣播：「我們開始爬升至 25,000 呎。在抵達最高高度前，請保持繫好安全帶。謝謝您的合作。」
It's not a very spectacular view while sitting on the ground.	坐在地面上時，景色沒什麼壯觀。
Please get closer to your seat (It's right next to Keith's.)	請靠近你的座位（就在基斯旁邊。）
Keith says, "I hope this flight goes by quickly."	基斯說：「希望這趟飛行很快就結束。」
First sit down.	先坐下。
The rest room is occupied.	洗手間有人使用。
You hear a faint voice from inside... "Have a little patience."	你聽見裡面傳來微弱的聲音……「耐心等一下。」
The stewardess politely tells you..."I'm sorry, sir, but they didn't give a reason."	空服員禮貌地告訴你……「抱歉，先生，但他們沒有說明理由。」
"We will be departing in a moment. Please fasten your seat belt and observe the No Smoking signs," says the stewardess.	「我們馬上要起飛。請繫好安全帶，並遵守禁菸標誌。」空服員說。
The stewardess says to you..."Sir, we'll be departing momentarily. Please find your seat, and fasten your seat belt."	空服員對你說……「先生，我們即將起飛。請找到座位並繫好安全帶。」
Wait until the plane has reached cruising altitude.	等飛機抵達巡航高度。
Wait until the plane has taken off.	等飛機起飛。
It would be a good idea to sit down first.	最好先坐下。
Because you are not complying with the regulations, therefore causing the flight to be delayed, you are being removed from the plane.	由於你不遵守規定，導致航班延誤，你被請下飛機。
"Would you happen to be Detective Bonds?" the stewardess asks.	「請問您是邦茲警探嗎？」空服員問。
"I'm sorry to have disturbed you, sir," the stewardess says.	「抱歉打擾您，先生。」空服員說。
Keith says to you, "Sonny, what's wrong with you?"	基斯對你說：「桑尼，你怎麼了？」
He then says to the stewardess, "Yes, this is Detective Bonds and I'm Detective Robinson. Is there a problem?"	接著他對空服員說：「是的，這位是邦茲警探，我是羅賓森警探。有什麼問題嗎？」
You acknowledge that you are Detective Bonds and ask what the problem is.	你承認自己是邦茲警探，並詢問出了什麼問題。
"The tower has just directed us to return to the airport," she tells you..."Captain Fletcher Hall says that you should continue your investigation in Lytton because he called ahead to Houston police and the suspect was not on the flight."	她告訴你：「塔台剛指示我們返回機場。」……「弗萊徹．霍爾警監說你應該在萊頓繼續調查，因為他已先聯絡休士頓警方，而嫌犯不在這班飛機上。」
