The revolver is pretty wet, and so is your hand.	左輪手槍很濕，你的手也一樣。
The lid is already off.	蓋子已經取下。
The lid is already on.	蓋子已經蓋上。
It's material evidence. You need to book it at the station, not put it back!	這是實物證物。你應該帶回警局登記，不是放回去！
It's mighty icky in there.	裡面實在噁心。
You roll up your sleeve, and carefully lift the revolver.	你捲起袖子，小心地拿起左輪手槍。
You don't see a gun.	你沒看見槍。
You already have it	你已經拿到了。
You don't see a weapon here.	你沒在這裡看見武器。
You've GOT to be kidding!	你一定是在開玩笑！
You see what looks like a police revolver hidden in the bottom of the toilet tank.	你看見一把疑似警用左輪手槍藏在馬桶水箱底部。
Full of water.	裡面全是水。
Remove the lid first.	先取下蓋子。
The toilet is overflowing. It's not a pretty sight!	馬桶溢水了。景象很不雅觀！
It's used to flush the toilet.	它是用來沖馬桶的。
It's a 4" Smith and Wesson .38 caliber K-38, Serial# 5557763	這是一把四吋 Smith and Wesson .38 口徑 K-38，序號 5557763。
You can't see it.	你看不見它。
Just your ordinary, white, thin, scratchy toilet paper.	只是普通的白色、薄而粗糙的衛生紙。
"Excuse me, please. You're in my way."	「不好意思，請讓讓。你擋到我的路了。」
This man looks so bored that you want to talk to him.	這名男子看起來無聊透頂，讓你想和他聊聊。
"Don't hurt me! I'm a victim of circumstances!"	「別傷害我！我是環境的受害者！」
"I didn't do it! She made me!"	「不是我做的！是她逼我的！」
"Hi, I'm Larry...Larry Laffer."	「嗨，我是拉瑞……拉瑞．拉佛。」
"Know any places where cute girls hang out?"	「你知道可愛女孩常去哪些地方嗎？」
"Do you see that cute blond over there. What a knockout!"	「你看到那邊那個可愛的金髮女郎了嗎？真是個大美人！」
