Breathing normally, Keith presses the mike button and answers... "Go ahead, Captain. This is 53mary2."	恢復正常呼吸後，基斯按下麥克風按鈕回答……「請說，警監。這裡是 53mary2。」
"10-4." says the Captain..."Have you overtaken the suspect vehicle, or do you have him in sight?"	「10-4。」警監說……「你們追上嫌犯車輛了嗎？還是看得到他？」
"Negative." Keith answers.	「否定。」基斯回答。
"10-4... 10-22 the pursuit. Return to Cotton Cove and complete the investigation there. Every other unit will continue the search...10-4?"	「10-4……10-22 終止追捕。返回棉花灣，在那裡完成調查。其他單位繼續搜索……10-4？」
Keith speaks up..."10-4, Captain..."	基斯回話……「10-4，警監……」
"Well," Keith says..."you heard the man."	「好吧，」基斯說……「你聽到警監的命令了。」
Keith nods. "I'll notify Dispatch."	基斯點點頭。「我會通知派遣中心。」
"Dispatch," Keith says, more calmly now, "53mary2... we are 10-22 on pursuit of Bains' vehicle. 10-97 to %s."	「派遣中心，」基斯現在冷靜多了，說道，「53mary2……我們已對班恩斯車輛的追捕執行 10-22。10-97 前往 %s。」
As you drive toward %s, Dispatch brings the radio alive with information from a unit in pursuit.	你開車前往 %s 時，派遣中心透過無線電傳來追捕單位的最新資訊。
"Attention all units...be advised 53-10 is in pursuit of fugitive suspect Bains..."	「所有單位注意……請注意 53-10 正在追捕逃犯班恩斯……」
"...The current 10-20 is northbound on Second Street in the vicinity of the airport."	「……目前 10-20 位於機場附近的第二街，正向北行駛。」
"53-10 is requesting assistance and advises that he's losing suspect in heavy traffic...any unit responding acknowledge..."	「53-10 請求支援，並表示嫌犯在車流中逐漸脫離掌握……任何回應單位請回覆……」
Just then, Keith jumps into the middle of things... "Dispatch, 53Mary2...be advised we are responding to 53-10's 10-20, code 2."	就在這時，基斯加入通話……「派遣中心，53Mary2……請注意，我們正以二級警示前往 53-10 的 10-20。」
Dispatch confirms your traffic as you respond toward the pursuit. "Copy, 53Mary2."	你前往追捕現場時，派遣中心確認你的通報。「收到，53Mary2。」
As you continue to respond, 53-10 comes on the air again... "Dispatch, 53-10...I...I lost suspect in heavy traffic."	你繼續前往現場時，53-10 再次透過無線電通話……「派遣中心，53-10……我……我在車流中跟丟嫌犯了。」
"53-10, 10-4." Dispatch answers..."Confirm last known 10-20 of suspect vehicle..."	「53-10，10-4。」派遣中心回答……「確認嫌犯車輛最後已知的 10-20……」
You listen attentively as the 53-10 unit answers... "Suspect vehicle last seen in vicinity of airport."	你專心聆聽 53-10 單位回答……「嫌犯車輛最後出現在機場附近。」
"I can't believe it!" Keith shouts, "How could he lose him?"	「真不敢相信！」基斯喊道，「他怎麼會跟丟？」
"Dispatch, 53Mary2... request a check be made on license number C035609."	「派遣中心，53Mary2……請查詢車牌號碼 C035609。」
"53Mary2...be advised your plate number matches that of the vehicle stolen from the mall."	「53Mary2……請注意，你們的車牌號碼與購物中心遭竊車輛相符。」
Continuing..."VIN number, S1234T10 should match..."	接著說……「車輛識別號碼應為 S1234T10……」
"Attention all units." she says, "10-22 looking for suspect vehicle...53Mary2 has it located."	她說：「所有單位注意。10-22 搜尋嫌犯車輛……53Mary2 已找到該車。」
"Dispatch, 53Mary2... request a check be made on hand gun, serial number SW5557763.	「派遣中心，53Mary2……請查詢序號為 SW5557763 的手槍。
"53Mary2...be advised your number comes back to a 4-inch K-38 Smith and Wesson, registered to Luis Pate.."	「53Mary2……請注意，查詢結果為一把四吋 K-38 Smith and Wesson，登記人為路易斯．佩特。」
Keith says to you... "Well, Sonny, I guess we should get back and book this evidence."	基斯對你說……「桑尼，我想我們該回去登記這件證物了。」
