The gas has cleared. It appears that you can enter the motel room.	瓦斯已經散去。看來你可以進入汽車旅館房間了。
You will need your car in order to leave the area.	你需要開車才能離開這個區域。
You are not close enough to a door.	你離門還不夠近。
This is room 206.	這是 206 號房。
This is room 207.	這是 207 號房。
This is room 208.	這是 208 號房。
This is Room 108.	這是 108 號房。
The best way to enter any of these rooms is through their doors.	要進入這些房間，最好的方法就是走門。
The acrid tear gas streaming from the broken window stings your eyes.	刺鼻的催淚瓦斯從破窗灌入，刺痛你的雙眼。
You are in the parking lot at the Snuggler's Inn	你位於 Snuggler’s Inn 汽車旅館的停車場。
You aren't close to a window.	你離窗戶還不夠近。
You are looking at a broken window.	你正在查看一扇破窗。
Someone's gonna call the cops if you keep looking into the windows like that!	你再這樣一直往窗戶裡看，就有人要報警了！
You aren't close enough to a door.	你離門還不夠近。
There's nothing special about this door.	這扇門沒什麼特別的。
The door to room 108 is in sad shape.	108 號房的門狀況很糟。
You don't need to look now!	你現在不需要查看！
You don't need to open it now!	你現在不需要打開它！
You have no reason to go into this room.	你沒有理由進入這個房間。
This door is locked.	這扇門鎖著。
Not now.	現在不行。
You don't have a key to this door.	你沒有這扇門的鑰匙。
The door is already open.	門已經開了。
You already have it.	你已經有它了。
Your requested warrant has not arrived yet.	你申請的搜索票還沒送到。
