xr; 6C%	xr; 6C%
xr< 6C%	xr< 6C%
xr= 6C%	xr= 6C%
xr> 6C%	xr> 6C%
As a police officer, you should not abandon any stolen property which you have recovered. Next time, think about what you're doing.	身為警察，不應丟下你追回的贓物。下次請想清楚自己在做什麼。
You're ON!	你已上線！
No way.	不可能。
Lytton Airport	萊頓機場
Third Street	第三街
Arnie's restaurant	阿尼餐廳
Oak Tree Mall	橡樹購物中心
Cotton Cove	棉花灣
Lytton City Jail	萊頓市監獄
West Peach Street	西桃街
West Rose	西玫瑰街
the office	辦公室
Keith grabs the mike and calls dispatch... "Dispatch...53mary2 is 10-8 from %s."	基斯拿起麥克風呼叫勤務中心……「勤務中心……53mary2 從%s回報 10-8。」
"Dispatch...53Mary2 10-7 at %s."	「勤務中心……53Mary2 在%s回報 10-7。」
Keith contacts dispatch..."Dispatch...53mary2 10-97 %s."	基斯聯絡勤務中心……「勤務中心……53mary2 回報 10-97，%s。」
The car's trunk contains	汽車後車廂內有
You took too much time getting across the street. Too bad...so sad...you've been had!	你花太久時間穿過街道。真糟……真可悲……你被逮到了！
You forgot to look both ways and wait for the light. Didn't your mother tell you about that?	你忘了左右查看並等紅綠燈。你媽媽沒教過你嗎？
J 9rx9	J 9rx9
As you have just discovered, you have to use your head if you're a cop. You didn't, and now this guy's going to arrest YOU!	正如你剛發現的，當警察得動腦筋。你沒有，現在這傢伙要逮捕你了！
Nobody ever figured out why Sonny Bonds tried to draw down on an airport security guard, but the results were obviously disastrous.	沒人知道桑尼．邦茲為何試圖對機場保全拔槍，但結果顯然是災難性的。
Yes, even in peaceful Lytton, crimes of opportunity still occur. Next time, keep track of your piece.	沒錯，即使在平靜的萊頓，機會犯罪仍會發生。下次請看好你的槍。
J 9rx9 rg	J 9rx9 rg
xr "6C%	xr "6C%
xr[ 6C%	xr[ 6C%
xr 6C%	xr 6C%
In the days that followed, it was most folks' opinion that Sonny Bonds was overly distracted by continuous and lengthy sessions playing a recently released computer game called POLICE QUEST II. This must be why he didn't see the Mack truck driven by the little old lady who lived in the house next to Marie.	接下來的日子裡，大多數人都認為桑尼．邦茲沉迷於長時間連續遊玩最近推出的電腦遊戲《警察故事 2》。這一定就是他沒看見瑪麗隔壁那位小老太太駕駛的麥克卡車的原因。
In the glove compartment you see:	你在手套箱裡看到：
find your seat and	找到你的座位並
Sonny, you really must learn not to be such a nuisance. It's not that hard to find your seat or fasten your seatbelt!	桑尼，你真的得學會別這麼惹人厭。找到座位或扣好安全帶沒那麼難！
Because you failed to take action, the hijackers have succeeded with their sinister plot. You will live out the rest of your life in Bum Suk Egypt.	因為你沒有採取行動，劫機犯成功執行了邪惡計畫。你將在埃及邦蘇度過餘生。
You and 49 other people are now dead...because YOU screwed up!	你和另外49個人現在都死了……因為你搞砸了！
Looks like you BLEW it, Sonny! You and 49 other people are now dead!	看來你搞砸了，桑尼！你和另外49個人現在都死了！
Jim is terribly disappointed, and says:	吉姆失望透頂，說道：
Don't worry, though; Keith will explain in his report how he heroically 'watched your back'.	不過別擔心；基斯會在報告中解釋他如何英勇地「替你掩護」。
Too bad, soooo sad. There were no witnesses to your untimely demise. But don't worry. Just restore and try again.	真糟，真是太悲哀了。沒人目睹你不幸的死亡。不過別擔心。還原存檔再試一次吧。
As you fight for air, blackness overcomes you. Next time, be more aware of your air tank's reserve.	你努力呼吸時，黑暗吞噬了你。下次請多留意氣瓶剩餘氣量。
As you fight for air, blackness overcomes you. Next time, try using the bouyancy control vest to conserve air.	你努力呼吸時，黑暗吞噬了你。下次試著使用浮力控制背心節省空氣。
You are carried away and battered into unconsciousness on the rocks.	你被水流沖走，在岩石上撞擊至失去意識。
a wet suit,	一件防寒潛水衣，
a weight belt,	一條配重腰帶，
a bouyancy control vest,	一件浮力控制背心，
a scuba mask,	一具水肺面罩，
In the glove compartment, you see:	你在手套箱裡看到：
Other than the car's registration, the glove compartment is empty.	除了汽車登記文件外，手套箱是空的。
I'll write to you at Happy Meadows! Thanks for playing Police Quest II. Next time, CALM DOWN!	我會在快樂草原寫信給你！感謝遊玩《警察故事 2》。下次冷靜一點！
