Hello, Steelton Police Department. Lieutenant Miller speaking.	喂，斯蒂爾頓警察局。我是米勒警佐。
This is Detective Sonny Bonds from Lytton PD.	我是萊頓警察局的桑尼．邦茲警探。
Hello, Detective Bonds. Is there something I can do for you?	喂，邦茲警探。有什麼我能幫忙的嗎？
What are you talking about?	你在說什麼？
Who is this? What are you talking about?	你是哪位？你在說什麼？
Yeah, Bonds, I got your message. We have put the phone tap on Colby's phone.	是的，邦茲，我收到你的留言了。我們已經對柯比的電話裝上竊聽設備。
Thanks and bye.	謝謝，再見。
Jessie Bains escaped jail yesterday and has gone on a rampage, killing anyone who put him behind bars.	傑西．班恩斯昨天越獄後大開殺戒，凡是曾協助把他送進牢裡的人都被他殺害。
Donald Colby lives in Steelton now and could be the next victim. You should tap Colby's phone to see if Bains calls.	唐納德．柯比現在住在斯蒂爾頓，可能成為下一個受害者。你們應該竊聽柯比的電話，看看班恩斯是否會打來。
The phone tap is a good idea. Thanks a lot for the information. I'll see you later.	竊聽電話是個好主意。非常感謝你提供資訊，晚點見。
What is it?	什麼事？
Oh, OK, then why did you call?	喔，好吧，那你為什麼打來？
How are things in Steelton?	斯蒂爾頓近況如何？
They're fine, Bonds. I'm sorry but I don't have time for chit-chat. Bye.	一切都好，邦茲。抱歉，我沒時間閒聊。再見。
So how is the weather in Steelton?	那斯蒂爾頓的天氣如何？
Well, Bonds, I don't mean to be rude, but I've got more important things to discuss than the weather.	邦茲，我不是要失禮，但我有比天氣更重要的事要討論。
Lytton Police Department. Which division, please?	萊頓警察局。請問要找哪個部門？
OK...wait one minute.	好……請稍候。
You have a feeling that somehow you were forgotten.	你覺得自己似乎被人忘了。
No one is listening to you.	沒有人在聽你說話。
I'm sorry, but that line is busy.	抱歉，該線路忙線中。
I'm sorry, but there isn't any answer.	抱歉，沒有人接聽。
Would you like to hold?	你要在線上等候嗎？
Ok, goodbye.	好，再見。
I'm sorry, but that department is not available.	抱歉，該部門目前無法接聽。
Hello. This is Sierra On-Line's customer support.	喂，這裡是 Sierra On-Line 客服。
