Dirt. Grass. No clues.	泥土。草。沒有線索。
You see a beautiful assortment of jonquils.	你看見一片美麗的黃水仙。
It's a Mediterranean perennial bulbous herb.	這是一種地中海多年生球根草本植物。
"Will it rain, sleet, or snow?"	「會下雨、雨夾雪，還是下雪？」
The rock is of no value to you...it's just a rock.	岩石對你沒有價值……就只是一塊石頭。
The pond really adds to the scenery... but that's all it does in this game.	池塘確實增添景色……但在這遊戲裡也就只有這個作用。
What sidewalk? Where?	什麼人行道？在哪裡？
The little brown ducks will almost eat out of your hand.	小棕鴨幾乎會從你手中吃東西。
Quit thinking of omelets!	別再想蛋捲了！
It used to be part of the 14th hole at the old Steelton Golf Links. It's very nice sand, but you see nothing unusual.	它過去是老 Steelton 高爾夫球場第 14 洞的一部分。沙子很漂亮，但你看不出異常。
Look here, Detective Bonds....this isn't a picnic, there's an ordinance prohibiting swimming in city parks, and besides all that, Sweet Cheeks is in deep trouble. Get going!	聽著，邦茲警探……這不是來野餐的，法令禁止在城市公園游泳，而且 Sweet Cheeks 還陷入大麻煩。快走！
I suppose that next you'll want to tiptoe through the tulips!	我猜接下來你還想踮腳穿過鬱金香！
Are you nuts?	你瘋了嗎？
You took your vitamins this morning. Why would you want to do that?	你今天早上吃過維他命了。為什麼還想那麼做？
You realize that wishing just isn't getting it done.	你意識到光靠許願根本辦不成事。
Leave it for the ducks.	留給鴨子吧。
You really don't have time. Besides, you don't have anything to feed them.	你真的沒時間。而且你沒有東西可以餵牠們。
Planning a barbecue while your girlfriend's kidnapped? C'mon Sonny! Where's your sense of proportion?	女朋友被綁架時還計畫烤肉？拜託，桑尼！你有沒有分寸？
You're overwrought, Sonny!	你太緊張了，桑尼！
You try, but you might as well try moving the USS Enterprise.	你試了，但還不如去搬動 USS Enterprise。
Mighty big room, this park!	這公園真是個超大的房間！
It used to be part of the 15th hole at the old Steelton Golf Links. It's very nice sand, but you see nothing unusual.	它過去是老 Steelton 高爾夫球場第 15 洞的一部分。沙子很漂亮，但你看不出異常。
It's pretty, but you see nothing unusual in this area of the park.	很漂亮，但你看不出公園這一區有任何異常。
You look closely at a tree, but you can't find anything that even resembles a clue.	你仔細查看一棵樹，但找不到任何像線索的東西。
The chain-link fence delineates the park's boundary.	鐵絲網界定公園的邊界。
