"I'll just kick back in the car for a while if you have some business to take care of."	你去處理吧，桑尼。我在車裡休息一會兒。
You go ahead, Sonny. I'll stay out here and have a smoke.	你先去，桑尼。我留在外面抽菸。
Keith wakes up and says "Hi, Sonny."	基斯醒來說：「嗨，桑尼。」
You're not close enough to the door.	你離門還不夠近。
Your car door is locked.	你的車門鎖著。
You're not close enough to the door	你離門還不夠近。
SCARS/TATTOOS: Abdominal scars caused by bullets. DOB: 11/30/51. PHYS: wht/male, 5'8", blk, brn, 150. ASSIGNED TO: Hamilton A/O: Sonny Bonds ARREST RECORD: Count #1 - MURDER. VICTIM - Taselli, Jason Count #2 - ATTEMPT MURDER VICTIM - Bonds, Sonny (1)	傷疤／刺青：腹部有子彈造成的疤痕。出生日期：1951/11/30。外觀：白人／男性，5 呎 8 吋，黑髮，棕眼，150 磅。承辦：漢彌爾頓　A/O：桑尼．邦茲。逮捕紀錄：第一項——謀殺，受害者——傑森．塔塞利；第二項——謀殺未遂，受害者——桑尼．邦茲。（1）
LYTTON CORRECTIONAL DEPT. PERSONNEL FILE Name: Pate, Luis D. ALIAS: none. DOB: 2/28/66. PHYS: wht/male, 5'11", blk, brn, 165.	萊頓矯正部門人事檔案　姓名：路易斯．佩特 D。別名：無。出生日期：1966/2/28。外觀：白人／男性，5 呎 11 吋，黑髮，棕眼，165 磅。
ID# : 2204. DEPT: Booking. POS : Correc. Off. EMPL: 12/23/87. STAT: Probation. DEPARTMENTAL ACTIONS: None (1)	編號：2204。部門：收押。職位：矯正官。到職日：1987/12/23。狀態：試用。部門處分：無。（1）
SUMMARY: After a lengthy investigation, Officer Sonny Bonds successfully infiltrated the illegal gambling operation at the Hotel Delphoria. A confrontation with Bains ended in a shoot-out and his subsequent arrest. Suspect was convicted of first degree murder. Further: testimony provided by Woody Roberts, Marie Wilkans, and Don Colby was instrumental in convicting subject Bains on additional counts of narcotics trafficking and illegal gambling activities. CONVICTED: 10/25/1983. INCARCERATED: State Pen. LOCATION: Wixsom. SENTENCE: 97 years. PAROLE DATE: None. CASE STATUS: Closed END FILE: (2)	摘要：經過長時間調查，桑尼．邦茲警官成功滲透德爾福利亞飯店的非法賭博活動。與班恩斯對峙後爆發槍戰，班恩斯隨後遭到逮捕。嫌犯因一級謀殺罪被定罪。此外，伍迪．羅伯茲、瑪麗．威爾肯斯與唐．柯爾比提供的證詞，對判定班恩斯另犯毒品走私與非法賭博罪起了關鍵作用。定罪日：1983/10/25。監禁地：州立監獄。地點：威克森。刑期：97 年。假釋日期：無。案件狀態：結案。檔案結束。（2）
EQUIPMENT ISSUED: #1. Mace. #2. PR/24. #3. Handcuffs. REGISTERED WEAPONS Hand gun:# S/W 5557763 4" Smith & Wesson .38 cal K-38. END FILE: (2)	配發裝備：#1 防暴噴霧；#2 PR-24 警棍；#3 手銬。登記武器　手槍：# S/W 5557763，4 吋 Smith & Wesson .38 口徑 K-38。檔案結束。（2）
You grab your field kit on the way out.	你離開時拿起現場勘查箱。
As you leave the jail, you pick up your weapon from the jailer and toss him $5.00 for the "coffee fund".	你離開監獄時，從獄警手中取回武器，並丟給他 5 美元作為「咖啡基金」。
You check your money clip and say...	你查看錢夾，說道……
"Oh no! I don't even have the $5.00 for the coffee fund!"	「糟了！我連咖啡基金的 5 美元都沒有！」
The jailer says, "I'll let it go this time, Bonds, but use your head next time."	獄警說：「這次就算了，邦茲，但下次動動腦子。」
There are no mug shots in here. There's only the ID photo of the rookie jailer, and you can't take it.	這裡沒有嫌犯照片。只有菜鳥獄警的身分照，而且你不能把它拿走。
There it is!	就是那個！
This is the Lytton City Jail prisoner receiving area.	這裡是萊頓市監獄的收押區。
There's nothing to be found on the jail floor, except floor tiles and waxy build-up.	監獄地板上什麼也找不到，只有地磚和蠟質堆積物。
Brand new acoustical ceiling, with things that sparkle in it.	全新的吸音天花板，上面有些閃閃發光的東西。
He's not here.	他不在這裡。
It's the jailer on duty. He's NOT a wild and crazy guy.	這是當值獄警。他可不是什麼狂野瘋狂的傢伙。
The jailer's been very nervous since the escape, and he looks it.	逃獄事件後，獄警一直非常緊張，看起來確實如此。
Solid. No windows. Jail-like color scheme.	很堅固。沒有窗戶。配色像監獄。
