That's uncalled for.	這是不必要的行為。
You're not weary or tired enough to sit down.	你還沒累到需要坐下。
What for?	為什麼？
You're a homicide detective....not an art collector.	你是凶殺組警探……不是藝術收藏家。
Not very sanitary.	不太衛生。
It sure looks like you're trying to talk to the woman ticket agent.	看來你確實想和女售票員交談。
The agent looks at you, pauses, and looks down at some paperwork.	售票員看著你，停頓一下，低頭查看文件。
Nobody can hear you from over there.	你站那麼遠，沒有人聽得見。
This person seems to have just arrived from France. You hear, "Je ne parle pas anglais."	這個人似乎剛從法國抵達。你聽見：「我不會說英語。」
No one seems to be listening to you.	似乎沒有人在聽你說話。
"Excuse me, but don't you have a flight to catch?"	「不好意思，但你不是要趕飛機嗎？」
She glares at you, obviously upset, but says nothing.	她明顯不高興地瞪著你，卻什麼也沒說。
She can't hear you.	她聽不見你。
They're doing their best to ignore you.	他們盡力假裝沒看到你。
The men in the center of the lobby are talking among themselves.	大廳中央的男人們彼此交談。
The agent says, "Please, wait your turn!"	售票員說：「請排隊等候！」
The agent says, "Yes, officer, what do you want?"	售票員說：「是的，警官，你要什麼？」
"May I help you, sir?" asks the ticket agent.	「我能幫您嗎，先生？」售票員問道。
The ticket agent snaps at you, "Wait your turn, Mister! This lady was ahead of you."	售票員不客氣地對你說：「先生，排隊等候！這位女士在你前面。」
The ticket agents can't hear you from over there	售票員聽不見你在那裡說話。
You don't have your identification with you.	你身上沒有身分證件。
What is this....a shakedown?	這是什麼……敲竹槓嗎？
Nobody can see your badge from over there, and besides, what's your purpose?	你站那麼遠沒人看得見警徽，而且你到底想做什麼？
"Who's Bains??"	「班恩斯是誰？？」
"Would you please step around to the front of the counter, sir?"	「先生，請走到櫃檯前方，好嗎？」
