Oh no! It's..It's..methane gas.	喔，不！這……這是甲烷氣體。
"I'm telling you!" says the manager, "This just hasn't been my year."	「我告訴你！」經理說，「今年真是我的倒楣年。」
"Yes Officer," he says... "what can I do for you ?"	「好的，警員，」他說……「我能為您做什麼？」
"GET SERIOUS, MAC!" says the manager... "After the mess you made, you guys ain't renting nothing!"	「別鬧了，老兄！」經理說……「你們弄出這種爛攤子後，什麼都別想租！」
Slightly upset, the manager says..."I only have four words for you jerks!...#$%* the b%& o&%!!!"	經理有些惱火地說：「我只想對你們這些混蛋說四個字！……#$%* the b%& o&%!!!」
The manager quickly says... "Why, so you can blow up another one?"	經理連忙說：「怎麼，想再炸掉一間嗎？」
"Well" the manager says, "the photograph is vaguely familiar...I believe his name was William Cole."	「嗯，」經理說，「這張照片看起來有點眼熟……我記得他叫威廉．科爾。」
"Ah ha!" says Keith, "Bains is using the name Cole."	「啊哈！」基斯說，「班恩斯正在使用科爾這個名字。」
"Well" the manager says, "I don't remember seeing him."	「嗯，」經理說，「我不記得見過他。」
The manager says, "Who are you looking for now?"	經理說：「你們現在在找誰？」
Scanning his guest book, he shakes his head and says... "No, sorry. I don't have anyone listed by that name."	他查看旅客登記簿，搖搖頭說……「不，抱歉。我沒有看到那個名字。」
Scanning his guest book, he shakes his head and says... "Yes, here we are: William Cole, room #108."	他查看旅客登記簿，搖搖頭說……「有了，就是這裡：威廉．科爾，108號房。」
"You must rent a room to get a key to the room, sir."	「先生，您必須租一間房，才能拿到房間鑰匙。」
You could, but what has he done?	你可以那麼做，但他做了什麼？
Snuggler's Inn.	偎依者旅館。
Someone's going to call the cops if you keep looking into the windows like that.	你再那樣一直窺視窗戶，會有人報警的。
You see a man inside.	你看到裡面有個男人。
You are not close enough to the window.	你離窗戶不夠近。
This is room #108.	這是108號房。
You don't need to look at it now. What are you doing with it, anyway!	你現在不需要查看它。你到底想拿它做什麼！
Sonny says... " How are you doing ? "	桑尼說……「你過得怎麼樣？」
The officer says... "Hi, guys. Sorry, you can't go inside now."	警員說……「嗨，各位。抱歉，你們現在不能進去。」
The officer says... "Hi, Sonny. Sorry, you can't go inside now."	警員說……「嗨，桑尼。抱歉，你現在不能進去。」
You aren't close enough to talk.	你離得不夠近，無法交談。
You can't do that. You don't have a key to this room	你不能那樣做。你沒有這個房間的鑰匙。
What do you mean "get out"? You aren't in a motel room.	你說「出去」是什麼意思？你不在汽車旅館房間裡。
In a commanding voice you yell, "Open up in the name of the police!"	你用命令的口吻大喊：「以警方名義，開門！」
"Yes, what can I do for you ?"	「好的，我能為您做什麼？」
You don't have your identification.	你沒有攜帶身分證件。
You aren't close enough to anybody to show your identification.	你離任何人都不夠近，無法出示身分證件。
"What're we doing here, Sonny?"	「桑尼，我們來這裡做什麼？」
"Hey, BOY!" says the captain..."Just in case you don't know it, we have a police department to run. Now quit MESSING around and get to work!"	「嘿，小子！」警監說……「以防你還不知道，我們可是有警察局要管理。現在別再鬼混，去工作！」
Having your undivided attention, the captain says..."For your information, DETECTIVE BONDS, it would be so ducky if you could check in with me once in a while just to see if I might have something for you to do."	警監確認你已全神貫注後說……「告訴你一聲，邦茲警探，如果你能偶爾來向我報到，看看我是否有事交代給你，那就太好了。」
After your mild reaming he says... "Consider this a warning FELLA! You can go now."	稍微訓斥你一番後，他說……「把這當成警告，小子！你現在可以走了。」
"I regret having to inform you of this." says the Captain... "But refusing to obey orders is strictly against departmental policy. It's a violation called insubordination!"	「我很遺憾必須通知你這件事。」警監說……「但拒絕服從命令嚴重違反部門規定。這種違規行為叫作抗命！」
Continuing he says..."According to departmental "Standard Operating Procedure", you are hereby suspended for two days, effective immediately!!"	他接著說……「依照部門『標準作業程序』，現即刻起將你停職兩天！！」
"Well, Bonds, ol' buddy," says the Captain..."You've managed to earn yourself a couple days off without PAY!"	「好了，老夥計邦茲，」警監說……「你成功替自己賺到幾天無薪假！」
Continuing he says..."Failing to carry out your assignments will land you in the `stuff' every time. Try and remember that when you return to work."	他接著說……「不執行交辦任務，每次都會讓你陷入那堆『東西』。回來工作時，記得這一點。」
The Captain isn't very happy as he says..."Well, here you are again Sonny! You seem to have difficulty following orders."	警監不太高興地說……「好了，桑尼，你又來了！你似乎很難服從命令。」
"Another two days off with no pay!" he rants..."You keep this up and you're gonna wind up owing the department your whole pay check!!"	「再放兩天無薪假！」他咆哮道……「你再這樣下去，最後會欠部門整份薪水！！」
Even the hottest detective needs to follow orders.	就算最厲害的警探也必須服從命令。
TO: Detective Bonds FROM: Captain Hall SUBJECT: ID of evidence photo Please provide the LAST name of the person pictured in the attached evidence photo for homicide case 186751. Please respond in box below, ASAP!	收件人：邦茲警探 寄件人：霍爾警監 主旨：證物照片身分辨識 請提供附件命案編號186751證物照片中人物的姓氏。請儘速在下方欄位回覆！
Sorry Bonds, you'll need to do better than that!	抱歉，邦茲，你得做得更好！
Come on now! Keep it clean.	拜託！講話乾淨一點。
MERCY!	天啊！
My GAWD, man. Get hold of yourself!	我的老天，老兄。控制一下自己！
C'mon, now! You didn't really say that, did you?	拜託！你不是真的那樣說了吧？
Get serious!	認真點！
That wouldn't be appropriate.	那樣不恰當。
The pressure gets to you after a while, doesn't it?	壓力過一陣子就會讓人受不了，對吧？
