You look and find the rear plate missing.	你查看後發現後車牌不見了。
You notice that the rear plate is missing.	你注意到後車牌不見了。
The rear plate is missing.	後車牌不見了。
You make a mental note of the front plate... personalized letters...."WOW"	你記下前車牌……個人化字母……「WOW」。
You look at the front plate which reads... "WOW"	你查看寫著「WOW」的前車牌。
You find a personalized front plate that reads... "WOW" you think to yourself..."Quite fitting for such a sharp Vette!"	你找到寫著「WOW」的個人化前車牌，心想……「很適合這輛俐落的 Vette！」
You look at the license plate, but it doesn't ring a bell !	你查看車牌，但沒有想起任何線索！
You find a personalized front plate that reads... "WOW" you think to yourself..." Quite fitting for such a sharp Vette!"	你找到寫著「WOW」的個人化前車牌，心想……「很適合這輛俐落的 Vette！」
You don't need to open this door.	你不需要打開這扇門。
This side is locked. Try the other side.	這一側鎖著。試試另一側。
You don't need anything from the police car.	你不需要從警車拿任何東西。
Which car?	哪輛車？
OK. It's locked	好。它鎖著。
You need a key to lock this door.	你需要鑰匙才能鎖上這扇門。
Keith says: "Wait up, Sonny!"	基斯說：「等等我，桑尼！」
As you get into the car, you fill Keith in on what you've discovered.	你上車後，把發現的事情告訴基斯。
Keith says, "Look Sonny, there's Haines."	基斯說：「看，桑尼，海恩斯在那裡。」
You see Officer Haines approaching.	你看見海恩斯警官走近。
"This is definitely the Correctional Officer's car." Haines says...	「這確實是矯正官的車。」海恩斯說……
"It's been sitting here a while, though," he continues. "The engine is cold."	「不過它已經停在這裡一陣子了，」他繼續說。「引擎是冷的。」
"Sonny, I'm going to take a look around," Keith says. "You go ahead and check out the car."	「桑尼，我去四處看看，」基斯說。「你先檢查車子。」
Haines says, "I think I'll go check around a little. There may be some witnesses."	海恩斯說：「我想我去附近看看。也許有目擊者。」
"Hey Sonny!", Haines shouts. "Looks like Bains may have taken another car. This lady says her car has been stolen."	「嘿，桑尼！」海恩斯喊道。「看來班恩斯可能又偷了一輛車。這位女士說她的車被偷了。」
"I figure you'll have some questions to ask her," says Haines.	「我想你有些問題要問她。」海恩斯說。
"I'll take it from here Sonny.", Haines assures you. "You've got your work cut out for you."	「接下來交給我吧，桑尼。」海恩斯向你保證。「你有自己的工作要忙。」
