You don't need to take the ashtray.	你不需要拿走煙灰缸。
The table wouldn't help you.	桌子幫不上忙。
You don't see it here.	你在這裡看不到它。
Go closer to it.	靠近它。
You pick it up and carefully unfold it.	你拿起它，小心地攤開。
You're on the wrong track.	你走錯方向了。
Nothing about the lamp will help.	燈沒有任何能幫上忙的地方。
It's not big enough to hide behind, and you would look funny carrying it around.	它不夠大，不能躲在後面；你拿著它到處走也很可笑。
You've got to be kidding!	你一定是在開玩笑！
There's no need to do that.	沒必要那麼做。
Keith simply grunts in reply.	基斯只哼了一聲作為回答。
You're talking to yourself again... Keith's not here.	你又在自言自語了……基斯不在這裡。
Don't bother. You've already looked in there.	別費事了。你已經看過裡面。
There are no clues, and you're not hungry.	沒有線索，而且你也不餓。
"Hmmmm..." you say to yourself. "Marie sure stocks a mean kitchen!"	「嗯……」你自言自語。「瑪麗的廚房存貨真豐富！」
You munch down a piece of fruit.	你吃下一塊水果。
You're not in the right room.	你不在正確的房間裡。
Specify where you want to apply the powder.	指定你要在哪裡撒粉。
You don't have your field kit.	你沒有帶現場勘查箱。
Carefully, you apply the dust and ... mumbling to yourself ... "Here's one worth taking!"	你小心撒上粉末……喃喃自語……「這個值得採取！」
Carefully, you apply the fingerprint powder ... you examine the powder and think to yourself... "Not worth processing"	你小心撒上指紋粉……檢查粉末後心想……「不值得處理。」
A wasted effort.	白費力氣。
Using the tape, you carefully transfer the print to a 3x5 card.	你用膠帶小心地把指紋轉印到 3×5 卡片上。
There aren't any prints.	沒有任何指紋。
Don't you know the correct way to get fingerprints?	你不知道正確採集指紋的方法嗎？
