Hello. This is Sierra On-Line's customer support.	喂，這裡是 Sierra On-Line 客服。
May I help you?	我能幫你嗎？
You don't think this program is that sophisticated... to have a whole customer support within the game.	你不會真的以為這套程式精密到……遊戲裡還內建完整客服吧。
If you want the real customer support use a real phone.	如果你要找真正的客服，請使用真正的電話。
Hi. This is Al; Al Lowe.	嗨，我是艾爾．洛；艾爾．洛。
Well, hello Sonny Bonds. I don't know how you got me -- must have been a bad connection. But since you sound like a potential customer, let me tell you about a new game out.	喔，桑尼．邦茲，你好。我不知道你怎麼會打到我——一定是線路接錯了。不過既然聽起來你可能是客戶，我來介紹一款新遊戲。
I just finished a great game called Leisure Suit Larry Goes Looking For Love in Several Wrong Places (LL2 for short).	我剛完成一款精彩遊戲，叫做《拉瑞西裝：在幾個錯誤的地方尋找愛情》（簡稱 LL2）。
You'll love becoming Larry Laffer, who's a little bit like us all - a jerk, a nerd, and a loser.	你一定會喜歡扮演拉瑞．拉佛；他跟我們都有點像——討厭鬼、書呆子，也是個失敗者。
But you can help Larry improve his self-esteem by finding the girl of his dreams.	不過你可以幫助拉瑞找到夢中情人，提升他的自尊。
So how does it sound?	聽起來如何？
Well go to the nearest software store and buy a copy - the funniest and funnest game I've ever played - and I'm sure you'll like it just as much as I do.	那就去最近的軟體店買一套吧——這是我玩過最爆笑、最有趣的遊戲——我相信你也會和我一樣喜歡。
If this sounds like a promo, it is. But then why else did you call me?	如果聽起來像宣傳，那就是宣傳。不然你為什麼會打給我？
Please note, though, that Leisure Suit Larry is NOT, I repeat NOT, based on my own personal experience.	但請注意，《拉瑞西裝》不是、我再說一次，絕對不是根據我的個人經驗製作的。
I gotta go now. I'm working on my new game "Leisure Suit Larry III featuring Polyester Patty."	我得掛了。我正在製作新遊戲《拉瑞西裝 III：聚酯纖維派蒂》。
Oh, and by the way,"Have a nice day."	喔，對了，「祝你今天愉快。」
Well too bad because everyone else likes it.	那真可惜，因為其他人都喜歡。
I guess there have to be cynics everywhere.	我想每個地方都會有憤世嫉俗的人。
Well, I'm outta here.	好，我要掛了。
Hhhhhhhhh	呵呵呵呵呵
You #$!@%#@. What the #$@% do you want?	你這個 #$!@%#@。你到底想要什麼？
Yo. Whadd'ya want?	喲，你想幹嘛？
You @#@$%&*#$@%ing piece of crap! Don't you ever call me again!	你這個 @#@$%&*#$@%i 混帳！別再打來了！
Uh. Yea sure. Right on dude.	呃，好啊，沒問題，老兄。
I am your worst nightmare, dude and I know where you live.	老兄，我是你最可怕的夢魘，而且我知道你住哪裡。
Same to you, buddy.	你也一樣，老兄。
The phone is busy.	電話忙線中。
You suspect no one is there and hang up.	你猜測那裡沒有人，便掛斷電話。
....We're sorry. That number cannot be completed as dialed. Please try again.	……很抱歉，無法完成你撥出的號碼。請再試一次。
CLICK	喀
