You look around an apparently empty living room.	你環視看似空蕩的客廳。
Keith is taking care of it.	基斯正在處理。
You search her bedroom from top to bottom, but you come up empty-handed. You can still smell her perfume in the air.	你把她的臥室從上到下搜了一遍，卻一無所獲。空氣中仍聞得到她的香水味。
The bed is neatly made and everything's put away nicely. You can smell her sweet perfume in the air.	床鋪整理得很整齊，所有東西也都收放妥當。空氣中聞得到她甜美的香水味。
You're not in the bedroom.	你不在臥室裡。
As you stare blankly at the ceiling, thoughts of Marie dance through your head.	你茫然凝視天花板時，腦中浮現瑪麗的身影。
The ground is outside. In here, it's called the floor.	外面才叫地面。這裡叫地板。
You see a lamp turned over on the floor. An ashtray is next to it.	你看見一盞翻倒在地的燈，旁邊有個煙灰缸。
You see various items of furniture turned over on the floor.	你看見各種家具翻倒在地。
As usual, the floor is clean.	和往常一樣，地板很乾淨。
The phone is on the sofa with the cord ripped from the wall.	電話在沙發上，電話線被從牆上扯了下來。
This is Marie's favorite sofa.	這是瑪麗最喜歡的沙發。
You're in the wrong room to be looking at the sofa.	你在錯的房間裡，不能查看沙發。
The walls are bright and freshly painted.	牆壁明亮，才剛重新粉刷過。
There are paintings hung here and there.	牆上各處掛著畫。
Go into the hall.	進入走廊。
Nothing unusual.	沒有異常。
You're in the wrong room to be looking at the chair.	你在錯的房間裡，不能查看椅子。
The table is bare. The phone was on it.	桌子是空的。電話原本在上面。
The table is bare. The lamp and ashtray were on it.	桌子是空的。燈和煙灰缸原本在上面。
Go closer to the table.	靠近桌子。
The phone is on the table.	電話在桌上。
You see a lamp and an ashtray.	你看見一盞燈和一個煙灰缸。
It's a pink Contel designer phone.	這是一具粉紅色 Contel 設計電話。
You're in the wrong room to be looking at the telephone.	你在錯的房間裡，不能查看電話。
