There is nothing like that here.	這裡沒有那種東西。
You don't see any of those here.	你在這裡看不到那種東西。
Closing the trunk would hinder the investigation.	關上後車廂會妨礙調查。
You see nothing of interest near the restaurant.	餐廳附近沒有值得注意的東西。
You are, however, mighty hungry, and you want to see your girlfriend.	不過你非常餓，也想去見女朋友。
You don't need to enter the construction area.	你不需要進入施工區。
It's the best restaurant in the county, even though it's not the fanciest or the most expensive.	這是郡內最好的餐廳，雖然它不是最豪華或最昂貴的。
It looks like it's closed, for some reason.	不知道為什麼，看起來像是關門了。
You're parked near the entrance of "Arnie's" restaurant.	你把車停在「阿尼餐廳」入口附近。
You're outdoors. You're not in a room.	你在戶外，不在房間裡。
Visa. Mastercard.	Visa。Mastercard。
Closed.	關門。
Open.	營業中。
The restaurant is called "Arnie's".	這家餐廳叫「阿尼餐廳」。
Hot asphalt.	燙熱的柏油路。
It's a blue sky.	藍色的天空。
It's your unmarked blue sedan, all alone in the lot.	那是你獨自停在停車場的藍色無標誌轎車。
It's your car, of course, all alone in the lot.	當然是你的車，獨自停在停車場。
Yep. There are other cars in the lot...all street-legal.	沒錯。停車場裡還有其他車……全都合法上路。
Green and bushy.	綠意盎然、枝葉茂密。
You can't enter the restaurant because the door's locked.	餐廳的門鎖著，你進不去。
You can enter the restaurant through the door.	你可以從門進入餐廳。
Someone's ALWAYS tearing up the pavement and leaving hazardous holes.	總有人不停挖開路面，留下危險的坑洞。
You look, but can't see anything through the drawn mini blinds.	你查看窗戶，但拉下的百葉窗擋住了視線。
Can't you read? The restaurant's closed!	你看不懂字嗎？餐廳關門了！
