The police radio scans the emergency frequencies, constantly in search of new developments.	警用無線電掃描緊急頻率，不斷搜尋最新發展。
The note on the dashboard is from three days ago. It's an old grocery list.	儀表板上的便條是三天前的，是一張舊採買清單。
You read: "SURGEON GENERAL'S WARNING: Smoking Causes Lung Cancer, Heart Disease, Emphysema, And May Complicate Pregnancy."	你讀到：「衛生總署警告：吸菸會導致肺癌、心臟病、肺氣腫，並可能使懷孕過程複雜化。」
You can't see much from inside the car.	從車內看不清楚外面。
You're behind the wheel of an unmarked police cruiser. Your partner, Keith, is puffing away on a cigarette.	你坐在無標誌警車的駕駛座後方。你的搭檔基斯正在吞雲吐霧。
Good idea. Safety first.	好主意，安全第一。
Keith keeps the police scanner on at all times.	基斯一直開著警用掃描器。
You listen intently to the radio traffic. It takes practice to pick out the important calls.	你專心聆聽無線電通訊。要從中挑出重要呼叫，需要經驗。
I'm sure Officer Gelepsi has radioed the shooting in already.	我確定葛雷普西警員已經用無線電回報槍擊案。
After requesting an APB on Bains' rental car, Keith says, "We'll get him now, Sonny!"	請求對班恩斯租用車輛發布全區通緝後，基斯說：「我們現在就能抓到他，桑尼！」
Keith informs dispatch of your current 10-20 and situation.	基斯向派遣中心回報你目前的 10-20 位置與情況。
Keith looks confused. "But, we don't have anything new to report, Sonny."	基斯看起來很困惑。「可是我們沒有任何新消息可以回報，桑尼。」
To drive somewhere, type: "drive to (destination)"	要開車前往某處，請輸入：「drive to（目的地）」
You need the correct key to operate this car.	你需要正確的鑰匙才能操作這輛車。
You're already going there.	你已經在前往那裡的路上。
You're already there.	你已經到了。
Keith looks even more confused than usual and says, "There aren't any murders pending, Sonny."	基斯看起來比平常更困惑，說：「目前沒有待處理的凶殺案，桑尼。」
You have hotter leads to follow.	你有更重要的線索要追查。
Lytton has seen many businesses fail in the last year... and that was one of them.	過去一年萊頓有許多商家倒閉……那家就是其中之一。
That's a great place, but it's too far to drive there right now.	那是個好地方，但現在開車過去太遠了。
You don't need to drive there.	你不需要開車去那裡。
Where to?	要去哪裡？
Keith looks at you skeptically. "How are we going to do THAT, partner? Do YOU see that rat somewhere around here?"	基斯狐疑地看著你。「夥伴，我們要怎麼做那件事？你有在附近看到那隻老鼠嗎？」
While driving to jail, Keith comments to you..."Sonny, this escape has got to be a real nightmare for you."	開車前往監獄時，基斯對你說……「桑尼，這次越獄一定讓你非常頭痛。」
"On the other hand," he continues, "it must be a super nightmare for that poor correctional officer."	「另一方面，」他繼續說，「那名可憐的矯正員警恐怕更是惡夢。」
