The stewardess is too frantic to talk.	空服員太慌張，無法交談。
Keith tries to speak, but nothing intelligible comes out.	基斯試著說話，但說不出任何聽得懂的話。
The passengers are all watching the hijacking and don't want to make conversation with you.	乘客全都看著劫機事件，不想和你交談。
Self cueing	自我提示
You fire at the hijacker but unfortunately, hit the stewardess was in the way and you her, and the hijacker kills you.	你朝劫機犯開槍，但不幸擊中擋在中間的空服員，劫機犯隨即殺了你。
You fire at the hijacker but miss because of your intoxicated condition. Unfortunately he didn't miss you!	你朝劫機犯開槍，但因醉酒狀態而失手。很不幸，他沒有打偏！
You fire at the hijacker but miss because your gun is not sighted.	你朝劫機犯開槍，但因槍枝尚未校準而失手。
Because of your furtive movement, the hijacker unloads on you.	由於你做出鬼祟動作，劫機犯朝你瘋狂開火。
As the stewardess struggles trying to break free, the man screams out...	空服員掙扎著想脫身時，那男人喊道……
"DO NOT MOVE, PEEEGS! or I weel blow out her brains."	「不准動，蠢豬！否則我就轟掉她的腦袋。」
"Theees plane ees ours!" he commands. "In the name of `The Shieeek of The Golden Sands!'	「這架飛機是我們的！」他命令道。「以『金沙酋長』之名！」
Just then, the Captain speaks over the PA system.	就在這時，機長透過廣播系統說話。
"This is the Captain" he says. "We are being hijacked! Please do as they say, and don't try to be a hero."	「我是機長，」他說。「我們遭到劫機！請按照他們的要求做，不要逞英雄。」
He continues, "These people mean business. They're armed, and they have a bomb on board."	他繼續說：「這些人是玩真的。他們有武器，而且機上有炸彈。」
"All they want," he says, "is safe passage to their desert home of Bum Aroun, Egypt."	「他們唯一的要求，」他說，「就是安全前往他們位於埃及的沙漠家園 Bum Aroun。」
The masked hijacker kills you, avenging his companions death.	蒙面劫機犯殺了你，替同伴之死報仇。
With master marksmanship, your bullet has found its target. The hijacker falls to the floor, and in his dying breath he says...	你展現精湛槍法，子彈命中目標。劫機犯倒在地上，臨死前說道……
"I'm taking you all with me." he says in a fading voice... "The timing device on the bomb has been activated."	「我要帶你們所有人一起走。」他用微弱的聲音說……「炸彈的計時裝置已啟動。」
You put your gun back in your holster, and survey the onslaught.	你把槍放回槍套，查看這場混亂。
The people on the plane look relieved.	飛機上的人看起來鬆了一口氣。
The stewardess, still badly shaken up, thanks you very much for saving her life and then heads into the cockpit.	空服員仍驚魂未定，非常感謝你救了她一命，接著走進駕駛艙。
Keith says, "Boy, Sonny, you're a hero. But we had better find that bomb or else."	基斯說：「桑尼，你是英雄。但我們最好找到炸彈，否則後果不堪設想。」
"I'll go check the cockpit for the bomb; you search the cabin area."	「我去駕駛艙找炸彈；你搜索客艙。」
Carefully moving the trash, you look at the bottom of the can and speak out loud..."Nothing there. I'm running out of time!"	你小心移開垃圾，查看垃圾桶底部並大聲說……「什麼都沒有。時間快到了！」
It doesn't have much to say.	它沒什麼好說的。
